RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 200 
Total cross section: 8.987632E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,8.179467E-1
1,8.167011E-1
2,8.129809E-1
3,8.068354E-1
4,7.983455E-1
5,7.876209E-1
6,7.747976E-1
7,7.600338E-1
8,7.435061E-1
9,7.254051E-1
10,7.059309E-1
11,6.852883E-1
12,6.636835E-1
13,6.413194E-1
14,6.183926E-1
15,5.950904E-1
16,5.715886E-1
17,5.480495E-1
18,5.246205E-1
19,5.014337E-1
20,4.786053E-1
21,4.562357E-1
22,4.344099E-1
23,4.131984E-1
24,3.926578E-1
25,3.728318E-1
26,3.537525E-1
27,3.354416E-1
28,3.179113E-1
29,3.011660E-1
30,2.852026E-1
31,2.700125E-1
32,2.555818E-1
33,2.418926E-1
34,2.289239E-1
35,2.166520E-1
36,2.050514E-1
37,1.940950E-1
38,1.837554E-1
39,1.740041E-1
40,1.648130E-1
41,1.561541E-1
42,1.479995E-1
43,1.403224E-1
44,1.330964E-1
45,1.262960E-1
46,1.198970E-1
47,1.138758E-1
48,1.082100E-1
49,1.028784E-1
50,9.786061E-2
51,9.313755E-2
52,8.869105E-2
53,8.450399E-2
54,8.056023E-2
55,7.684458E-2
56,7.334276E-2
57,7.004139E-2
58,6.692788E-2
59,6.399046E-2
60,6.121810E-2
61,5.860045E-2
62,5.612786E-2
63,5.379130E-2
64,5.158230E-2
65,4.949299E-2
66,4.751597E-2
67,4.564435E-2
68,4.387169E-2
69,4.219198E-2
70,4.059958E-2
71,3.908926E-2
72,3.765609E-2
73,3.629550E-2
74,3.500319E-2
75,3.377517E-2
76,3.260769E-2
77,3.149724E-2
78,3.044054E-2
79,2.943454E-2
80,2.847636E-2
81,2.756331E-2
82,2.669288E-2
83,2.586272E-2
84,2.507060E-2
85,2.431447E-2
86,2.359238E-2
87,2.290251E-2
88,2.224314E-2
89,2.161268E-2
90,2.100961E-2
91,2.043252E-2
92,1.988007E-2
93,1.935102E-2
94,1.884418E-2
95,1.835844E-2
96,1.789277E-2
97,1.744617E-2
98,1.701772E-2
99,1.660655E-2
100,1.621183E-2
101,1.583278E-2
102,1.546867E-2
103,1.511881E-2
104,1.478254E-2
105,1.445924E-2
106,1.414834E-2
107,1.384927E-2
108,1.356151E-2
109,1.328457E-2
110,1.301797E-2
111,1.276128E-2
112,1.251408E-2
113,1.227595E-2
114,1.204653E-2
115,1.182546E-2
116,1.161240E-2
117,1.140702E-2
118,1.120901E-2
119,1.101809E-2
120,1.083398E-2
121,1.065641E-2
122,1.048514E-2
123,1.031993E-2
124,1.016054E-2
125,1.000677E-2
126,9.858411E-3
127,9.715266E-3
128,9.577152E-3
129,9.443890E-3
130,9.315312E-3
131,9.191259E-3
132,9.071577E-3
133,8.956121E-3
134,8.844751E-3
135,8.737335E-3
136,8.633748E-3
137,8.533869E-3
138,8.437582E-3
139,8.344780E-3
140,8.255357E-3
141,8.169215E-3
142,8.086258E-3
143,8.006396E-3
144,7.929543E-3
145,7.855618E-3
146,7.784540E-3
147,7.716238E-3
148,7.650638E-3
149,7.587675E-3
150,7.527283E-3
151,7.469401E-3
152,7.413971E-3
153,7.360938E-3
154,7.310250E-3
155,7.261856E-3
156,7.215710E-3
157,7.171766E-3
158,7.129983E-3
159,7.090320E-3
160,7.052741E-3
161,7.017208E-3
162,6.983689E-3
163,6.952152E-3
164,6.922569E-3
165,6.894911E-3
166,6.869154E-3
167,6.845273E-3
168,6.823247E-3
169,6.803055E-3
170,6.784679E-3
171,6.768103E-3
172,6.753312E-3
173,6.740292E-3
174,6.729031E-3
175,6.719520E-3
176,6.711749E-3
177,6.705713E-3
178,6.701405E-3
179,6.698821E-3
180,6.697961E-3
