RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 50 eV
Total cross section: 4.212 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,1.181395
1,1.180879
2,1.179333
3,1.176762
4,1.173178
5,1.168595
6,1.163030
7,1.156505
8,1.149047
9,1.140683
10,1.131445
11,1.121369
12,1.110491
13,1.098852
14,1.086492
15,1.073455
16,1.059786
17,1.045531
18,1.030736
19,1.015450
20,9.997181E-1
21,9.835892E-1
22,9.671103E-1
23,9.503278E-1
24,9.332876E-1
25,9.160346E-1
26,8.986125E-1
27,8.810635E-1
28,8.634285E-1
29,8.457467E-1
30,8.280556E-1
31,8.103907E-1
32,7.927858E-1
33,7.752725E-1
34,7.578807E-1
35,7.406380E-1
36,7.235702E-1
37,7.067008E-1
38,6.900515E-1
39,6.736420E-1
40,6.574902E-1
41,6.416117E-1
42,6.260209E-1
43,6.107299E-1
44,5.957495E-1
45,5.810886E-1
46,5.667549E-1
47,5.527545E-1
48,5.390920E-1
49,5.257711E-1
50,5.127939E-1
51,5.001616E-1
52,4.878745E-1
53,4.759318E-1
54,4.643318E-1
55,4.530720E-1
56,4.421495E-1
57,4.315604E-1
58,4.213004E-1
59,4.113645E-1
60,4.017476E-1
61,3.924438E-1
62,3.834472E-1
63,3.747515E-1
64,3.663499E-1
65,3.582358E-1
66,3.504022E-1
67,3.428421E-1
68,3.355483E-1
69,3.285135E-1
70,3.217307E-1
71,3.151925E-1
72,3.088916E-1
73,3.028211E-1
74,2.969736E-1
75,2.913422E-1
76,2.859199E-1
77,2.806999E-1
78,2.756755E-1
79,2.708400E-1
80,2.661870E-1
81,2.617101E-1
82,2.574032E-1
83,2.532603E-1
84,2.492753E-1
85,2.454427E-1
86,2.417569E-1
87,2.382124E-1
88,2.348040E-1
89,2.315266E-1
90,2.283753E-1
91,2.253454E-1
92,2.224321E-1
93,2.196311E-1
94,2.169381E-1
95,2.143488E-1
96,2.118593E-1
97,2.094657E-1
98,2.071642E-1
99,2.049513E-1
100,2.028236E-1
101,2.007776E-1
102,1.988101E-1
103,1.969182E-1
104,1.950987E-1
105,1.933490E-1
106,1.916661E-1
107,1.900476E-1
108,1.884908E-1
109,1.869934E-1
110,1.855530E-1
111,1.841674E-1
112,1.828344E-1
113,1.815520E-1
114,1.803182E-1
115,1.791311E-1
116,1.779890E-1
117,1.768900E-1
118,1.758325E-1
119,1.748148E-1
120,1.738356E-1
121,1.728933E-1
122,1.719864E-1
123,1.711137E-1
124,1.702739E-1
125,1.694657E-1
126,1.686880E-1
127,1.679396E-1
128,1.672194E-1
129,1.665264E-1
130,1.658596E-1
131,1.652181E-1
132,1.646009E-1
133,1.640073E-1
134,1.634362E-1
135,1.628870E-1
136,1.623589E-1
137,1.618512E-1
138,1.613631E-1
139,1.608940E-1
140,1.604433E-1
141,1.600104E-1
142,1.595946E-1
143,1.591955E-1
144,1.588124E-1
145,1.584450E-1
146,1.580926E-1
147,1.577549E-1
148,1.574314E-1
149,1.571217E-1
150,1.568253E-1
151,1.565420E-1
152,1.562714E-1
153,1.560130E-1
154,1.557667E-1
155,1.555320E-1
156,1.553087E-1
157,1.550965E-1
158,1.548951E-1
159,1.547043E-1
160,1.545239E-1
161,1.543536E-1
162,1.541932E-1
163,1.540426E-1
164,1.539015E-1
165,1.537698E-1
166,1.536473E-1
167,1.535339E-1
168,1.534294E-1
169,1.533337E-1
170,1.532468E-1
171,1.531684E-1
172,1.530985E-1
173,1.530370E-1
174,1.529839E-1
175,1.529390E-1
176,1.529024E-1
177,1.528740E-1
178,1.528537E-1
179,1.528415E-1
180,1.528374E-1
