c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex391_cec356_o2 test without sample 1.vms
O1s
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_O1s	BE_O1s	CPS_O1s	Background_O1s
536.61	950	1.04323	1.04323
536.71	949.9	0.791883	0.791883
536.81	949.8	1.35816	1.35816
536.91	949.7	1.15177	1.15177
537.01	949.6	0.93611	0.93611
537.11	949.5	1.02289	1.02289
537.21	949.4	0.876321	0.876321
537.31	949.3	0.981445	0.981445
537.41	949.2	1.07864	1.07864
537.51	949.1	1.03684	1.03684
537.61	949	1.44067	1.44067
537.71	948.9	1.26306	1.26306
537.81	948.8	0.922238	0.922238
537.91	948.7	0.756206	0.756206
538.01	948.6	1.02322	1.02322
538.11	948.5	0.904093	0.904093
538.21	948.4	0.991421	0.991421
538.31	948.3	1.04456	1.04456
538.41	948.2	0.738536	0.738536
538.51	948.1	0.860265	0.860265
538.61	948	1.1158	1.1158
538.71	947.9	0.932289	0.932289
538.81	947.8	1.59853	1.59853
538.91	947.7	0.895316	0.895316
539.01	947.6	1.17936	1.17936
539.11	947.5	1.16616	1.16616
539.21	947.4	0.965771	0.965771
539.31	947.3	1.01578	1.01578
539.41	947.2	0.997177	0.997177
539.51	947.1	1.36571	1.36571
539.61	947	1.25152	1.25152
539.71	946.9	1.03691	1.03691
539.81	946.8	0.907023	0.907023
539.91	946.7	1.17019	1.17019
540.01	946.6	1.04137	1.04137
540.11	946.5	1.01196	1.01196
540.21	946.4	1.17584	1.17584
540.31	946.3	0.837699	0.837699
540.41	946.2	0.754052	0.754052
540.51	946.1	0.714969	0.714969
540.61	946	1.25422	1.25422
540.71	945.9	0.789247	0.789247
540.81	945.8	1.18478	1.18478
540.91	945.7	1.24472	1.24472
541.01	945.6	0.935426	0.935426
541.11	945.5	1.59746	1.59746
541.21	945.4	0.977578	0.977578
541.31	945.3	0.592408	0.592408
541.41	945.2	0.871961	0.871961
541.51	945.1	0.581732	0.581732
541.61	945	0.781404	0.781404
541.71	944.9	1.03854	1.03854
541.81	944.8	1.22287	1.22287
541.91	944.7	1.07188	1.07188
542.01	944.6	0.527314	0.527314
542.11	944.5	1.02762	1.02762
542.21	944.4	1.00252	1.00252
542.31	944.3	0.961061	0.961061
542.41	944.2	0.84128	0.84128
542.51	944.1	0.927751	0.927751
542.61	944	1.35217	1.35217
542.71	943.9	1.29169	1.29169
542.81	943.8	1.2173	1.2173
542.91	943.7	1.27388	1.27388
543.01	943.6	0.916248	0.916248
543.11	943.5	1.14407	1.14407
543.21	943.4	0.804876	0.804876
543.31	943.3	0.990764	0.990764
543.41	943.2	1.17439	1.17439
543.51	943.1	1.2419	1.2419
543.61	943	1.04278	1.04278
543.71	942.9	0.945453	0.945453
543.81	942.8	0.782029	0.782029
543.91	942.7	0.723657	0.723657
544.01	942.6	0.810336	0.810336
544.11	942.5	0.934945	0.934945
544.21	942.4	0.857979	0.857979
544.31	942.3	0.615831	0.615831
544.41	942.2	0.886574	0.886574
544.51	942.1	0.986089	0.986089
544.61	942	0.785787	0.785787
544.71	941.9	1.16689	1.16689
544.81	941.8	1.27642	1.27642
544.91	941.7	1.21829	1.21829
545.01	941.6	1.16878	1.16878
545.11	941.5	0.970451	0.970451
545.21	941.4	1.02631	1.02631
545.31	941.3	0.660534	0.660534
545.41	941.2	0.723913	0.723913
545.51	941.1	0.957443	0.957443
545.61	941	0.968569	0.968569
545.71	940.9	1.31698	1.31698
545.81	940.8	1.30799	1.30799
545.91	940.7	1.49351	1.49351
546.01	940.6	1.17964	1.17964
546.11	940.5	1.20203	1.20203
546.21	940.4	0.936894	0.936894
546.31	940.3	0.982233	0.982233
546.41	940.2	1.00249	1.00249
546.51	940.1	1.07086	1.07086
546.61	940	1.03146	1.03146
546.71	939.9	1.15127	1.15127
546.81	939.8	0.967127	0.967127
546.91	939.7	0.584844	0.584844
547.01	939.6	0.675383	0.675383
547.11	939.5	1.01466	1.01466
547.21	939.4	1.28808	1.28808
547.31	939.3	0.606327	0.606327
547.41	939.2	0.968485	0.968485
547.51	939.1	1.01444	1.01444
547.61	939	1.12705	1.12705
547.71	938.9	1.01668	1.01668
547.81	938.8	0.88116	0.88116
547.91	938.7	0.940689	0.940689
548.01	938.6	1.01037	1.01037
548.11	938.5	1.45422	1.45422
548.21	938.4	1.149	1.149
548.31	938.3	1.32651	1.32651
548.41	938.2	1.23937	1.23937
548.51	938.1	1.09027	1.09027
548.61	938	1.05123	1.05123
548.71	937.9	1.17526	1.17526
548.81	937.8	0.922799	0.922799
548.91	937.7	1.05391	1.05391
549.01	937.6	1.29145	1.29145
549.11	937.5	1.28147	1.28147
549.21	937.4	0.702286	0.702286
549.31	937.3	0.956183	0.956183
549.41	937.2	1.19392	1.19392
549.51	937.1	1.22269	1.22269
549.61	937	0.925916	0.925916
549.71	936.9	1.03294	1.03294
549.81	936.8	0.807866	0.807866
549.91	936.7	0.620103	0.620103
550.01	936.6	1.1337	1.1337
550.11	936.5	1.16653	1.16653
550.21	936.4	1.47343	1.47343
550.31	936.3	0.934739	0.934739
550.41	936.2	0.806195	0.806195
550.51	936.1	1.0039	1.0039
550.61	936	0.70841	0.70841
550.71	935.9	0.795674	0.795674
550.81	935.8	1.4362	1.4362
550.91	935.7	1.03589	1.03589
551.01	935.6	1.0387	1.0387
551.11	935.5	1.23182	1.23182
551.21	935.4	0.664935	0.664935
551.31	935.3	1.00647	1.00647
551.41	935.2	0.950164	0.950164
551.51	935.1	1.13597	1.13597
551.61	935	1.42849	1.42849
551.71	934.9	0.831903	0.831903
551.81	934.8	0.918698	0.918698
551.91	934.7	1.2782	1.2782
552.01	934.6	0.820431	0.820431
552.11	934.5	1.27957	1.27957
552.21	934.4	1.19775	1.19775
552.31	934.3	1.2121	1.2121
552.41	934.2	0.947382	0.947382
552.51	934.1	1.17209	1.17209
552.61	934	1.30747	1.30747
552.71	933.9	1.27916	1.27916
552.81	933.8	1.04247	1.04247
552.91	933.7	0.69325	0.69325
553.01	933.6	1.13677	1.13677
553.11	933.5	1.03202	1.03202
553.21	933.4	1.19942	1.19942
553.31	933.3	1.17014	1.17014
553.41	933.2	1.1096	1.1096
553.51	933.1	1.28372	1.28372
553.61	933	0.99157	0.99157
553.71	932.9	0.931551	0.931551
553.81	932.8	0.955345	0.955345
553.91	932.7	0.697011	0.697011
554.01	932.6	0.823154	0.823154
554.11	932.5	0.770387	0.770387
554.21	932.4	1.37633	1.37633
554.31	932.3	1.02787	1.02787
554.41	932.2	1.2087	1.2087
554.51	932.1	1.16802	1.16802
554.61	932	1.26626	1.26626
554.71	931.9	1.09724	1.09724
554.81	931.8	1.02514	1.02514
554.91	931.7	1.023	1.023
555.01	931.6	0.622145	0.622145
555.11	931.5	0.985566	0.985566
555.21	931.4	1.14654	1.14654
555.31	931.3	1.08988	1.08988
555.41	931.2	0.840312	0.840312
555.51	931.1	0.868689	0.868689
555.61	931	1.05643	1.05643
555.71	930.9	1.39912	1.39912
555.81	930.8	1.06538	1.06538
555.91	930.7	0.86472	0.86472
556.01	930.6	0.741518	0.741518
556.11	930.5	1.15974	1.15974
556.21	930.4	1.00555	1.00555
556.31	930.3	0.716396	0.716396
556.41	930.2	0.952862	0.952862
556.51	930.1	0.768957	0.768957
556.61	930	0.904367	0.904367
556.71	929.9	0.874061	0.874061
556.81	929.8	1.0668	1.0668
556.91	929.7	1.18203	1.18203
557.01	929.6	0.803619	0.803619
557.11	929.5	1.11715	1.11715
557.21	929.4	1.35611	1.35611
557.31	929.3	0.820969	0.820969
557.41	929.2	1.18308	1.18308
557.51	929.1	0.819418	0.819418
557.61	929	0.939885	0.939885
557.71	928.9	1.09379	1.09379
557.81	928.8	1.43304	1.43304
557.91	928.7	1.21908	1.21908
558.01	928.6	1.01981	1.01981
558.11	928.5	1.15226	1.15226
558.21	928.4	1.30153	1.30153
558.31	928.3	1.13016	1.13016
558.41	928.2	0.900466	0.900466
558.51	928.1	1.05812	1.05812
558.61	928	0.873334	0.873334
558.71	927.9	1.48609	1.48609
558.81	927.8	1.89369	1.89369
558.91	927.7	1.42334	1.42334
559.01	927.6	0.746831	0.746831
559.11	927.5	0.775331	0.775331
559.21	927.4	0.857347	0.857347
559.31	927.3	1.0894	1.0894
559.41	927.2	1.23106	1.23106
559.51	927.1	1.02766	1.02766
559.61	927	1.0073	1.0073
559.71	926.9	0.480558	0.480558
559.81	926.8	1.21287	1.21287
559.91	926.7	0.995087	0.995087
560.01	926.6	0.896671	0.896671
560.11	926.5	0.897969	0.897969
560.21	926.4	1.10443	1.10443
560.31	926.3	1.0995	1.0995
560.41	926.2	0.838305	0.838305
560.51	926.1	1.21424	1.21424
560.61	926	1.20949	1.20949
560.71	925.9	0.913713	0.913713
560.81	925.8	1.04428	1.04428
560.91	925.7	0.999022	0.999022
561.01	925.6	1.04655	1.04655
561.11	925.5	1.41673	1.41673
561.21	925.4	0.835389	0.835389
561.31	925.3	0.91954	0.91954
561.41	925.2	0.631743	0.631743
561.51	925.1	1.04563	1.04563
561.61	925	0.997266	0.997266
561.71	924.9	0.995902	0.995902
561.81	924.8	0.95952	0.95952
561.91	924.7	0.986742	0.986742
562.01	924.6	0.883585	0.883585
562.11	924.5	0.961693	0.961693
562.21	924.4	1.27106	1.27106
562.31	924.3	0.980217	0.980217
562.41	924.2	0.974649	0.974649
562.51	924.1	1.28517	1.28517
562.61	924	0.989237	0.989237
562.71	923.9	0.748083	0.748083
562.81	923.8	1.17368	1.17368
562.91	923.7	1.54382	1.54382
563.01	923.6	1.00519	1.00519
563.11	923.5	0.755556	0.755556
563.21	923.4	0.929276	0.929276
563.31	923.3	1.12176	1.12176
563.41	923.2	1.12246	1.12246
563.51	923.1	1.10171	1.10171
563.61	923	0.735496	0.735496
563.71	922.9	0.940565	0.940565
563.81	922.8	1.09855	1.09855
563.91	922.7	0.913528	0.913528
564.01	922.6	0.659851	0.659851
564.11	922.5	0.831319	0.831319
564.21	922.4	0.932458	0.932458
564.31	922.3	0.724215	0.724215
564.41	922.2	1.06501	1.06501
564.51	922.1	0.976496	0.976496
564.61	922	0.745911	0.745911
564.71	921.9	0.660327	0.660327
564.81	921.8	0.714438	0.714438
564.91	921.7	0.893218	0.893218
565.01	921.6	0.636582	0.636582
565.11	921.5	0.894529	0.894529
