C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	5249
1036.71	449.9	5158.13
1036.81	449.8	5208.43
1036.91	449.7	5216.17
1037.01	449.6	5225.92
1037.11	449.5	5227.64
1037.21	449.4	5210.44
1037.31	449.3	5222.86
1037.41	449.2	5198.86
1037.51	449.1	5221.16
1037.61	449	5142.19
1037.71	448.9	5174.45
1037.81	448.8	5238.64
1037.91	448.7	5189.46
1038.01	448.6	5120.1
1038.11	448.5	5146.26
1038.21	448.4	5206.16
1038.31	448.3	5228.07
1038.41	448.2	5212.17
1038.51	448.1	5192.01
1038.61	448	5182.28
1038.71	447.9	5142.85
1038.81	447.8	5180.36
1038.91	447.7	5232.43
1039.01	447.6	5215.35
1039.11	447.5	5171.16
1039.21	447.4	5185.47
1039.31	447.3	5182.91
1039.41	447.2	5116.35
1039.51	447.1	5179.18
1039.61	447	5196.43
1039.71	446.9	5176.79
1039.81	446.8	5229.53
1039.91	446.7	5209.57
1040.01	446.6	5213.61
1040.11	446.5	5243.55
1040.21	446.4	5206.04
1040.31	446.3	5213.09
1040.41	446.2	5243.75
1040.51	446.1	5222.19
1040.61	446	5212.07
1040.71	445.9	5284.98
1040.81	445.8	5269.81
1040.91	445.7	5200.09
1041.01	445.6	5238.62
1041.11	445.5	5223.46
1041.21	445.4	5182.97
1041.31	445.3	5185.71
1041.41	445.2	5236.28
1041.51	445.1	5289.12
1041.61	445	5246.41
1041.71	444.9	5215.54
1041.81	444.8	5231.62
1041.91	444.7	5227.85
1042.01	444.6	5240.08
1042.11	444.5	5278.39
1042.21	444.4	5268.88
1042.31	444.3	5187.86
1042.41	444.2	5217.63
1042.51	444.1	5176.81
1042.61	444	5169.26
1042.71	443.9	5219.16
1042.81	443.8	5223.89
1042.91	443.7	5305.88
1043.01	443.6	5255.46
1043.11	443.5	5165.77
1043.21	443.4	5268.73
1043.31	443.3	5211.38
