C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	11510.3
1036.71	449.9	11529.6
1036.81	449.8	11533
1036.91	449.7	11552.5
1037.01	449.6	11630.5
1037.11	449.5	11560.7
1037.21	449.4	11572.9
1037.31	449.3	11484.7
1037.41	449.2	11542
1037.51	449.1	11545.5
1037.61	449	11641.9
1037.71	448.9	11666.7
1037.81	448.8	11581.2
1037.91	448.7	11615.2
1038.01	448.6	11667.8
1038.11	448.5	11541.9
1038.21	448.4	11625.4
1038.31	448.3	11663.9
1038.41	448.2	11575.2
1038.51	448.1	11520.2
1038.61	448	11572.3
1038.71	447.9	11584.8
1038.81	447.8	11592.4
1038.91	447.7	11518.4
1039.01	447.6	11554.1
1039.11	447.5	11561.3
1039.21	447.4	11586.5
1039.31	447.3	11663.4
1039.41	447.2	11606
1039.51	447.1	11574.2
1039.61	447	11581.5
1039.71	446.9	11521.4
1039.81	446.8	11487.6
1039.91	446.7	11565.9
1040.01	446.6	11580.7
1040.11	446.5	11580.8
1040.21	446.4	11564.8
1040.31	446.3	11633.2
1040.41	446.2	11577.5
1040.51	446.1	11632.5
1040.61	446	11601.5
1040.71	445.9	11602.1
1040.81	445.8	11595.6
1040.91	445.7	11537.2
1041.01	445.6	11553.5
1041.11	445.5	11678.7
1041.21	445.4	11515.5
1041.31	445.3	11505
1041.41	445.2	11591.5
1041.51	445.1	11638.8
1041.61	445	11565.7
1041.71	444.9	11580.6
1041.81	444.8	11674.8
1041.91	444.7	11588.3
1042.01	444.6	11642
1042.11	444.5	11620.5
1042.21	444.4	11621.3
1042.31	444.3	11627.7
1042.41	444.2	11633.1
1042.51	444.1	11629.9
1042.61	444	11586.6
1042.71	443.9	11599.3
1042.81	443.8	11652
1042.91	443.7	11641.8
1043.01	443.6	11704.1
1043.11	443.5	11590
1043.21	443.4	11654.2
1043.31	443.3	11632.2
1043.41	443.2	11600.4
1043.51	443.1	11532.4
1043.61	443	11586.5
1043.71	442.9	11559.3
1043.81	442.8	11632
1043.91	442.7	11638.9
1044.01	442.6	11578.6
1044.11	442.5	11567.6
1044.21	442.4	11621.8
1044.31	442.3	11666.9
1044.41	442.2	11625.8
1044.51	442.1	11607.2
1044.61	442	11573.6
1044.71	441.9	11567.2
1044.81	441.8	11600.7
1044.91	441.7	11657.4
1045.01	441.6	11703.5
1045.11	441.5	11663.6
1045.21	441.4	11589.2
1045.31	441.3	11617.5
1045.41	441.2	11617.4
1045.51	441.1	11629.5
1045.61	441	11659.6
1045.71	440.9	11654.8
1045.81	440.8	11630
1045.91	440.7	11581.1
1046.01	440.6	11716.2
1046.11	440.5	11640.4
1046.21	440.4	11565.7
1046.31	440.3	11597.1
1046.41	440.2	11612.3
1046.51	440.1	11579
1046.61	440	11562.5
1046.71	439.9	11604
1046.81	439.8	11612.1
1046.91	439.7	11590.1
1047.01	439.6	11605.4
1047.11	439.5	11658.8
1047.21	439.4	11608.2
1047.31	439.3	11625.2
1047.41	439.2	11678.1
1047.51	439.1	11596.2
1047.61	439	11612.4
1047.71	438.9	11677.2
1047.81	438.8	11614.9
1047.91	438.7	11583.5
1048.01	438.6	11633.2
1048.11	438.5	11596.7
1048.21	438.4	11550.2
1048.31	438.3	11588.2
1048.41	438.2	11629
1048.51	438.1	11685.6
1048.61	438	11581
1048.71	437.9	11515.9
1048.81	437.8	11633.8
1048.91	437.7	11699.7
1049.01	437.6	11618.3
1049.11	437.5	11629.9
1049.21	437.4	11642.1
1049.31	437.3	11660.4
1049.41	437.2	11639.2
1049.51	437.1	11706.5
1049.61	437	11694.9
1049.71	436.9	11638.9
1049.81	436.8	11607.5
1049.91	436.7	11714.8
1050.01	436.6	11683.3
1050.11	436.5	11741.8
1050.21	436.4	11710.8
1050.31	436.3	11631.1
1050.41	436.2	11640.4
1050.51	436.1	11589.6
1050.61	436	11712.5
1050.71	435.9	11617.2
1050.81	435.8	11562.8
1050.91	435.7	11510.7
1051.01	435.6	11564.6
1051.11	435.5	11693.7
1051.21	435.4	11734.7
1051.31	435.3	11661.5
1051.41	435.2	11657.9
1051.51	435.1	11663
1051.61	435	11653.5
1051.71	434.9	11676.5
1051.81	434.8	11708.8
1051.91	434.7	11629.2
1052.01	434.6	11554.8
1052.11	434.5	11631.8
1052.21	434.4	11692.4
1052.31	434.3	11693.3
1052.41	434.2	11665
1052.51	434.1	11681.3
1052.61	434	11704.4
1052.71	433.9	11621.1
1052.81	433.8	11700.2
1052.91	433.7	11687
1053.01	433.6	11594.6
1053.11	433.5	11661.7
1053.21	433.4	11695.5
1053.31	433.3	11651.6
1053.41	433.2	11703.2
1053.51	433.1	11623.5
1053.61	433	11691.8
1053.71	432.9	11688.9
1053.81	432.8	11582
1053.91	432.7	11676.4
1054.01	432.6	11712.6
1054.11	432.5	11759.9
1054.21	432.4	11680.6
1054.31	432.3	11667.2
1054.41	432.2	11724.6
1054.51	432.1	11699.5
1054.61	432	11671.4
1054.71	431.9	11598.6
1054.81	431.8	11680.6
1054.91	431.7	11677
1055.01	431.6	11732.8
1055.11	431.5	11751.3
1055.21	431.4	11720.9
1055.31	431.3	11732.8
1055.41	431.2	11746.5
1055.51	431.1	11722
1055.61	431	11754.7
1055.71	430.9	11875.2
1055.81	430.8	11758.8
1055.91	430.7	11715.5
1056.01	430.6	11731.2
1056.11	430.5	11759.8
1056.21	430.4	11743.9
1056.31	430.3	11814.6
1056.41	430.2	11741.9
1056.51	430.1	11668.5
1056.61	430	11758.6
1056.71	429.9	11726.9
1056.81	429.8	11728.6
1056.91	429.7	11851.7
1057.01	429.6	11826.1
1057.11	429.5	11820
1057.21	429.4	11785.2
1057.31	429.3	11762.3
1057.41	429.2	11796.9
1057.51	429.1	11758.5
1057.61	429	11772.4
1057.71	428.9	11836.6
1057.81	428.8	11746.3
1057.91	428.7	11642.7
1058.01	428.6	11690.6
1058.11	428.5	11755.6
1058.21	428.4	11771.8
1058.31	428.3	11809.8
1058.41	428.2	11829.4
1058.51	428.1	11799.3
1058.61	428	11779.6
1058.71	427.9	11801.3
1058.81	427.8	11742.1
1058.91	427.7	11803.4
1059.01	427.6	11917.5
1059.11	427.5	11851.8
1059.21	427.4	11777.8
1059.31	427.3	11800.8
1059.41	427.2	11871.1
1059.51	427.1	11877.8
1059.61	427	11780.1
1059.71	426.9	11874.6
1059.81	426.8	11900.8
1059.91	426.7	11792
1060.01	426.6	11818.7
1060.11	426.5	11828.1
1060.21	426.4	11890.3
1060.31	426.3	11748.5
1060.41	426.2	11784.8
1060.51	426.1	11771.7
1060.61	426	11770.1
1060.71	425.9	11753.7
1060.81	425.8	11840.4
1060.91	425.7	11830.1
1061.01	425.6	11874.1
1061.11	425.5	11879.3
1061.21	425.4	11774.2
1061.31	425.3	11846.6
1061.41	425.2	11916.2
1061.51	425.1	11910.2
1061.61	425	11865.5
1061.71	424.9	11807.6
1061.81	424.8	11886.6
1061.91	424.7	11904.9
1062.01	424.6	11836.9
1062.11	424.5	11816.2
1062.21	424.4	11887.8
1062.31	424.3	11898.7
1062.41	424.2	11933.2
1062.51	424.1	11956.5
1062.61	424	11937.7
1062.71	423.9	11909.2
1062.81	423.8	11900.7
1062.91	423.7	11929.3
1063.01	423.6	11976.6
1063.11	423.5	11904.5
1063.21	423.4	11975.8
1063.31	423.3	11948.1
1063.41	423.2	11891.5
1063.51	423.1	11927.3
1063.61	423	11934.2
1063.71	422.9	11936.3
1063.81	422.8	11963.7
1063.91	422.7	11975.5
1064.01	422.6	12010.2
1064.11	422.5	11964.2
1064.21	422.4	11889.6
1064.31	422.3	11881.3
1064.41	422.2	11865.8
1064.51	422.1	12085.4
1064.61	422	11972.5
1064.71	421.9	11898.6
1064.81	421.8	11921.4
1064.91	421.7	11960.9
1065.01	421.6	11980.4
1065.11	421.5	11952.6
