C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
641.61	845	8665.64	8665.64
642.11	844.5	8785.44	8785.44
642.61	844	8729.23	8729.23
643.11	843.5	8582.08	8582.08
643.61	843	8838.53	8838.53
644.11	842.5	8738.32	8738.32
644.61	842	9007.95	9007.95
645.11	841.5	8880.55	8880.55
645.61	841	8556.01	8556.01
646.11	840.5	8834.63	8834.63
646.61	840	8940.06	8940.06
647.11	839.5	9016.05	9016.05
647.61	839	9073.72	9073.72
648.11	838.5	8957.89	8957.89
648.61	838	9051.76	9051.76
649.11	837.5	9145.74	9145.74
649.61	837	8942.02	8942.02
650.11	836.5	8910.62	8910.62
650.61	836	9363.56	9363.56
651.11	835.5	9189.1	9189.1
651.61	835	9131.22	9131.22
652.11	834.5	9022.54	9022.54
652.61	834	9083.32	9083.32
653.11	833.5	8935.97	8935.97
653.61	833	8968.97	8968.97
654.11	832.5	8992.48	8992.48
654.61	832	8955.97	8955.97
655.11	831.5	9359.16	9359.16
655.61	831	9393.26	9393.26
656.11	830.5	9264.93	9264.93
656.61	830	9070.46	9070.46
657.11	829.5	9296.66	9296.66
657.61	829	9516.78	9516.78
658.11	828.5	9241.62	9241.62
658.61	828	9185.37	9185.37
659.11	827.5	9190.34	9190.34
659.61	827	9289.51	9289.51
660.11	826.5	9451.78	9451.78
660.61	826	9422.56	9422.56
661.11	825.5	9474.33	9474.33
661.61	825	9470.63	9470.63
662.11	824.5	9337.58	9337.58
662.61	824	9137.31	9137.31
663.11	823.5	9233.25	9233.25
663.61	823	9295.66	9295.66
664.11	822.5	9524.44	9524.44
664.61	822	9361.61	9361.61
665.11	821.5	9468.48	9468.48
665.61	821	9418.94	9418.94
666.11	820.5	9543.49	9543.49
666.61	820	9544.04	9544.04
667.11	819.5	9762.02	9762.02
667.61	819	9518.03	9518.03
668.11	818.5	9733.97	9733.97
668.61	818	9529.81	9529.81
669.11	817.5	9613.18	9613.18
669.61	817	9848.76	9848.76
670.11	816.5	9735.98	9735.98
670.61	816	9692.94	9692.94
671.11	815.5	9632.4	9632.4
671.61	815	9904.49	9904.49
672.11	814.5	9673.04	9673.04
672.61	814	9770.85	9770.85
673.11	813.5	9752.4	9752.4
673.61	813	10019.5	10019.5
674.11	812.5	10032.5	10032.5
674.61	812	10138.2	10138.2
675.11	811.5	9860.95	9860.95
675.61	811	9888.94	9888.94
676.11	810.5	9931.46	9931.46
676.61	810	9849.47	9849.47
677.11	809.5	9745.22	9745.22
677.61	809	9858.5	9858.5
678.11	808.5	9966.77	9966.77
678.61	808	10117.4	10117.4
679.11	807.5	9992.19	9992.19
679.61	807	10123.7	10123.7
680.11	806.5	10087.2	10087.2
680.61	806	9837.18	9837.18
681.11	805.5	10020	10020
681.61	805	10070.1	10070.1
682.11	804.5	10029.7	10029.7
682.61	804	9967.87	9967.87
683.11	803.5	9940.33	9940.33
683.61	803	10078	10078
684.11	802.5	10147.7	10147.7
684.61	802	10119.5	10119.5
685.11	801.5	10338.6	10338.6
685.61	801	10267	10267
686.11	800.5	10274.5	10274.5
686.61	800	10058.2	10058.2
687.11	799.5	10441.2	10441.2
687.61	799	10214.2	10214.2
688.11	798.5	10465.5	10465.5
688.61	798	10463.2	10463.2
689.11	797.5	10499.3	10499.3
689.61	797	10544.2	10544.2
690.11	796.5	10418.4	10418.4
690.61	796	10654.3	10654.3
691.11	795.5	10528.6	10528.6
691.61	795	10439.6	10439.6
692.11	794.5	10685.8	10685.8
692.61	794	10391.6	10391.6
693.11	793.5	10253.5	10253.5
693.61	793	10319.7	10319.7
694.11	792.5	10299.7	10299.7
694.61	792	10401.5	10401.5
695.11	791.5	10453.6	10453.6
695.61	791	10564.3	10564.3
696.11	790.5	10612.5	10612.5
696.61	790	10642.9	10642.9
697.11	789.5	10733.6	10733.6
697.61	789	10757.4	10757.4
698.11	788.5	10399.5	10399.5
698.61	788	10622.6	10622.6
699.11	787.5	10786.8	10786.8
699.61	787	10751.5	10751.5
700.11	786.5	10637.1	10637.1
700.61	786	10856.1	10856.1
701.11	785.5	10886.1	10886.1
701.61	785	10821.4	10821.4
702.11	784.5	10647.5	10647.5
702.61	784	10811.4	10811.4
703.11	783.5	10748.7	10748.7
703.61	783	10765.7	10765.7
704.11	782.5	10775.3	10775.3
704.61	782	10675.3	10675.3
705.11	781.5	10985.8	10985.8
705.61	781	10968.3	10968.3
706.11	780.5	10854.1	10854.1
706.61	780	10909.1	10909.1
707.11	779.5	11178.2	11178.2
707.61	779	10775	10775
708.11	778.5	11199.5	11199.5
708.61	778	11150.9	11150.9
709.11	777.5	10973.8	10973.8
709.61	777	10918.9	10918.9
710.11	776.5	10941	10941
710.61	776	10838.7	10838.7
711.11	775.5	10928.6	10928.6
711.61	775	11293	11293
712.11	774.5	11197.9	11197.9
712.61	774	11138.3	11138.3
713.11	773.5	11351.6	11351.6
713.61	773	11341.2	11341.2
714.11	772.5	11329.3	11329.3
714.61	772	11262	11262
715.11	771.5	11222.5	11222.5
715.61	771	11390.2	11390.2
716.11	770.5	11157.1	11157.1
716.61	770	11203	11203
717.11	769.5	11190.3	11190.3
717.61	769	11545.3	11545.3
718.11	768.5	11345.7	11345.7
718.61	768	11364.3	11364.3
719.11	767.5	11235.1	11235.1
719.61	767	11531.8	11531.8
720.11	766.5	11485.8	11485.8
720.61	766	11330.2	11330.2
721.11	765.5	11200.1	11200.1
721.61	765	11547.1	11547.1
722.11	764.5	11559.8	11559.8
722.61	764	11718.9	11718.9
723.11	763.5	11671.4	11671.4
723.61	763	11520.5	11520.5
724.11	762.5	11439.4	11439.4
724.61	762	11497.8	11497.8
725.11	761.5	11615.4	11615.4
725.61	761	11566.9	11566.9
726.11	760.5	11556.3	11556.3
726.61	760	11549.9	11549.9
727.11	759.5	11751.8	11751.8
727.61	759	11578.3	11578.3
728.11	758.5	11576.4	11576.4
728.61	758	11757.5	11757.5
729.11	757.5	11829.4	11829.4
729.61	757	11851.4	11851.4
730.11	756.5	11693.1	11693.1
730.61	756	11674.5	11674.5
731.11	755.5	11634.3	11634.3
731.61	755	11661.5	11661.5
732.11	754.5	11698.7	11698.7
732.61	754	11611.8	11611.8
733.11	753.5	11940.7	11940.7
733.61	753	11911.7	11911.7
734.11	752.5	11798.2	11798.2
734.61	752	11928.6	11928.6
735.11	751.5	11925.9	11925.9
735.61	751	11776.5	11776.5
736.11	750.5	12012.7	12012.7
736.61	750	12140.2	12140.2
737.11	749.5	11999.1	11999.1
737.61	749	12143.5	12143.5
738.11	748.5	12091.7	12091.7
738.61	748	11916.2	11916.2
739.11	747.5	11982.4	11982.4
739.61	747	12157.1	12157.1
740.11	746.5	12273.4	12273.4
740.61	746	11983.1	11983.1
741.11	745.5	12239.5	12239.5
741.61	745	12275.1	12275.1
742.11	744.5	11945.7	11945.7
742.61	744	12112.3	12112.3
743.11	743.5	12243	12243
743.61	743	12415	12415
744.11	742.5	12263.8	12263.8
744.61	742	12098.4	12098.4
745.11	741.5	12267.8	12267.8
745.61	741	12527.1	12527.1
746.11	740.5	12316.7	12316.7
746.61	740	12261.1	12261.1
747.11	739.5	12319.9	12319.9
747.61	739	12553	12553
748.11	738.5	12691.8	12691.8
748.61	738	12432.8	12432.8
749.11	737.5	12554.8	12554.8
749.61	737	12634.5	12634.5
750.11	736.5	12506.4	12506.4
750.61	736	12468	12468
751.11	735.5	12576.3	12576.3
751.61	735	12375.4	12375.4
752.11	734.5	12455.5	12455.5
752.61	734	12457.6	12457.6
753.11	733.5	12367.4	12367.4
753.61	733	12574.4	12574.4
754.11	732.5	12392.7	12392.7
754.61	732	12424.7	12424.7
755.11	731.5	12635.6	12635.6
755.61	731	12502.4	12502.4
756.11	730.5	12450	12450
756.61	730	12303	12303
757.11	729.5	12276.4	12276.4
757.61	729	12258.8	12258.8
758.11	728.5	12439.5	12439.5
758.61	728	12429.4	12429.4
759.11	727.5	12526.2	12526.2
759.61	727	12665.3	12665.3
760.11	726.5	12505.4	12505.4
760.61	726	12836.5	12836.5
761.11	725.5	12748.5	12748.5
761.61	725	12895.6	12895.6
762.11	724.5	12565.6	12565.6
762.61	724	12873.2	12873.2
763.11	723.5	13195	13195
763.61	723	13250.6	13250.6
764.11	722.5	13284.2	13284.2
764.61	722	13336.6	13336.6
765.11	721.5	13500.4	13500.4
765.61	721	13934.5	13934.5
766.11	720.5	13884.6	13884.6
766.61	720	13710.5	13710.5
767.11	719.5	13718.9	13718.9
767.61	719	13974.8	13974.8
768.11	718.5	13454.8	13454.8
768.61	718	13508.6	13508.6
769.11	717.5	13330.4	13330.4
769.61	717	13352.1	13352.1
770.11	716.5	13374.2	13374.2
770.61	716	13410.3	13410.3
771.11	715.5	13407.1	13407.1
771.61	715	13038.4	13038.4
772.11	714.5	12754.8	12754.8
772.61	714	12624.5	12624.5
773.11	713.5	12718.2	12718.2
773.61	713	12648.3	12648.3
774.11	712.5	12547.5	12547.5
774.61	712	12384.6	12384.6
775.11	711.5	12257.8	12257.8
775.61	711	12283.2	12283.2
776.11	710.5	12361.9	12361.9
776.61	710	12253.7	12253.7
777.11	709.5	12350.2	12350.2
777.61	709	12306.2	12306.2
778.11	708.5	12149.1	12149.1
778.61	708	11993.1	11993.1
779.11	707.5	12182.3	12182.3
779.61	707	12022.6	12022.6
780.11	706.5	11976	11976
780.61	706	12051.2	12051.2
781.11	705.5	12049.8	12049.8
781.61	705	12007.2	12007.2
782.11	704.5	11663.2	11663.2
782.61	704	11971.8	11971.8
