C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
641.61	845	30992.7	30992.7
642.11	844.5	30974.5	30974.5
642.61	844	30772	30772
643.11	843.5	30951.4	30951.4
643.61	843	30857.1	30857.1
644.11	842.5	30948	30948
644.61	842	31166.4	31166.4
645.11	841.5	31226.9	31226.9
645.61	841	31080.8	31080.8
646.11	840.5	30851.8	30851.8
646.61	840	31348.8	31348.8
647.11	839.5	31392.7	31392.7
647.61	839	31256	31256
648.11	838.5	31266.2	31266.2
648.61	838	31223.9	31223.9
649.11	837.5	31063	31063
649.61	837	31082.8	31082.8
650.11	836.5	31454.4	31454.4
650.61	836	31288.1	31288.1
651.11	835.5	31668.8	31668.8
651.61	835	31618.7	31618.7
652.11	834.5	31106	31106
652.61	834	31703.1	31703.1
653.11	833.5	31974.7	31974.7
653.61	833	31611.7	31611.7
654.11	832.5	31203.3	31203.3
654.61	832	31712.3	31712.3
655.11	831.5	31808.8	31808.8
655.61	831	31753.9	31753.9
656.11	830.5	31806.9	31806.9
656.61	830	31753.1	31753.1
657.11	829.5	31753	31753
657.61	829	31864.9	31864.9
658.11	828.5	31471.6	31471.6
658.61	828	31619.3	31619.3
659.11	827.5	31997	31997
659.61	827	31727.1	31727.1
660.11	826.5	32057.8	32057.8
660.61	826	32159.7	32159.7
661.11	825.5	32040.2	32040.2
661.61	825	32045	32045
662.11	824.5	31982.6	31982.6
662.61	824	32003.9	32003.9
663.11	823.5	32040.3	32040.3
663.61	823	31814.2	31814.2
664.11	822.5	32142.6	32142.6
664.61	822	32048.1	32048.1
665.11	821.5	31948.6	31948.6
665.61	821	31554.8	31554.8
666.11	820.5	32098.5	32098.5
666.61	820	31983.8	31983.8
667.11	819.5	32228.8	32228.8
667.61	819	31978.4	31978.4
668.11	818.5	31865.5	31865.5
668.61	818	32384.8	32384.8
