C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
287.11	1199.5	2052.46	2052.46
287.61	1199	2143.43	2143.43
288.11	1198.5	2153.1	2153.1
288.61	1198	2201.35	2201.35
289.11	1197.5	2053.79	2053.79
289.61	1197	2116.55	2116.55
290.11	1196.5	2191.18	2191.18
290.61	1196	2114.54	2114.54
291.11	1195.5	2245.2	2245.2
291.61	1195	2193.41	2193.41
292.11	1194.5	2033.16	2033.16
292.61	1194	2102.13	2102.13
293.11	1193.5	2104.89	2104.89
293.61	1193	2194.73	2194.73
294.11	1192.5	2095.12	2095.12
294.61	1192	2027.03	2027.03
295.11	1191.5	2127.48	2127.48
295.61	1191	2189.06	2189.06
296.11	1190.5	2141.48	2141.48
296.61	1190	2107.41	2107.41
297.11	1189.5	2194.69	2194.69
297.61	1189	2109.99	2109.99
298.11	1188.5	2053	2053
298.61	1188	2142.01	2142.01
299.11	1187.5	2171.19	2171.19
299.61	1187	2085.86	2085.86
300.11	1186.5	2190.99	2190.99
300.61	1186	2054.26	2054.26
301.11	1185.5	2078	2078
301.61	1185	2105.35	2105.35
302.11	1184.5	2129.6	2129.6
302.61	1184	2180.66	2180.66
303.11	1183.5	2139.51	2139.51
303.61	1183	2068.32	2068.32
304.11	1182.5	2023.99	2023.99
304.61	1182	2047.41	2047.41
305.11	1181.5	1917.52	1917.52
305.61	1181	1983.12	1983.12
306.11	1180.5	1910.18	1910.18
306.61	1180	1919.54	1919.54
307.11	1179.5	1937.79	1937.79
307.61	1179	1836.9	1836.9
308.11	1178.5	1897.35	1897.35
308.61	1178	2032.51	2032.51
309.11	1177.5	1892.24	1892.24
309.61	1177	1828.93	1828.93
310.11	1176.5	1829.52	1829.52
310.61	1176	1774.66	1774.66
311.11	1175.5	1760.63	1760.63
311.61	1175	1728.52	1728.52
312.11	1174.5	1818.08	1818.08
312.61	1174	1847.89	1847.89
313.11	1173.5	1807.49	1807.49
313.61	1173	1803.32	1803.32
314.11	1172.5	1693.64	1693.64
314.61	1172	1738.83	1738.83
315.11	1171.5	1926.2	1926.2
315.61	1171	1828.14	1828.14
316.11	1170.5	1864.31	1864.31
316.61	1170	1871.66	1871.66
317.11	1169.5	1732	1732
317.61	1169	1790.34	1790.34
318.11	1168.5	1754.83	1754.83
318.61	1168	1734.85	1734.85
319.11	1167.5	1873.02	1873.02
319.61	1167	1793.3	1793.3
320.11	1166.5	1714.17	1714.17
320.61	1166	1800.82	1800.82
321.11	1165.5	1823.66	1823.66
321.61	1165	1687.11	1687.11
322.11	1164.5	1789.41	1789.41
322.61	1164	1860.21	1860.21
323.11	1163.5	1797.01	1797.01
323.61	1163	1785.46	1785.46
324.11	1162.5	1778.75	1778.75
324.61	1162	1819.92	1819.92
325.11	1161.5	1881.74	1881.74
325.61	1161	1923.13	1923.13
326.11	1160.5	1906.73	1906.73
326.61	1160	1836.39	1836.39
327.11	1159.5	1885.78	1885.78
327.61	1159	1850.81	1850.81
328.11	1158.5	1946.36	1946.36
328.61	1158	1835.04	1835.04
329.11	1157.5	1831.7	1831.7
329.61	1157	1898.81	1898.81
330.11	1156.5	1881.15	1881.15
330.61	1156	1891.53	1891.53
331.11	1155.5	1844.87	1844.87
331.61	1155	1845.54	1845.54
332.11	1154.5	1800.56	1800.56
332.61	1154	1867.06	1867.06
333.11	1153.5	1891.22	1891.22
333.61	1153	1933.1	1933.1
334.11	1152.5	1946.77	1946.77
334.61	1152	1841.74	1841.74
335.11	1151.5	1826.6	1826.6
335.61	1151	1841	1841
336.11	1150.5	1811.01	1811.01
336.61	1150	1844.25	1844.25
337.11	1149.5	1811.72	1811.72
337.61	1149	1729.67	1729.67
338.11	1148.5	1750.62	1750.62
338.61	1148	1631.7	1631.7
339.11	1147.5	1760.4	1760.4
339.61	1147	1844.13	1844.13
340.11	1146.5	1676.51	1676.51
340.61	1146	1665.86	1665.86
341.11	1145.5	1728.41	1728.41
341.61	1145	1684.11	1684.11
342.11	1144.5	1616.97	1616.97
342.61	1144	1570	1570
343.11	1143.5	1557.12	1557.12
343.61	1143	1613.61	1613.61
344.11	1142.5	1573.43	1573.43
344.61	1142	1551.46	1551.46
345.11	1141.5	1656.84	1656.84
345.61	1141	1576.06	1576.06
346.11	1140.5	1583.79	1583.79
346.61	1140	1470.08	1470.08
347.11	1139.5	1591.57	1591.57
347.61	1139	1720.96	1720.96
348.11	1138.5	1706.38	1706.38
348.61	1138	1751.88	1751.88
349.11	1137.5	1745.6	1745.6
349.61	1137	1873.76	1873.76
350.11	1136.5	1892.82	1892.82
350.61	1136	2184.06	2184.06
351.11	1135.5	2446.94	2446.94
351.61	1135	2598.7	2598.7
352.11	1134.5	2769.82	2769.82
352.61	1134	2711.55	2711.55
353.11	1133.5	2500.06	2500.06
353.61	1133	2393.46	2393.46
354.11	1132.5	2164.64	2164.64
354.61	1132	2078.92	2078.92
355.11	1131.5	1801.58	1801.58
355.61	1131	1657.05	1657.05
356.11	1130.5	1801.67	1801.67
356.61	1130	1839.08	1839.08
357.11	1129.5	1917.59	1917.59
357.61	1129	1991.56	1991.56
358.11	1128.5	2032.64	2032.64
358.61	1128	1865.82	1865.82
359.11	1127.5	1585	1585
359.61	1127	1222.49	1222.49
360.11	1126.5	965.471	965.471
360.61	1126	859.149	859.149
361.11	1125.5	692.115	692.115
361.61	1125	676.643	676.643
362.11	1124.5	566.949	566.949
362.61	1124	585.335	585.335
363.11	1123.5	520.749	520.749
363.61	1123	493.063	493.063
364.11	1122.5	436.039	436.039
364.61	1122	435.861	435.861
365.11	1121.5	431.639	431.639
365.61	1121	408.923	408.923
366.11	1120.5	357.616	357.616
366.61	1120	305.21	305.21
367.11	1119.5	242.905	242.905
367.61	1119	240.038	240.038
368.11	1118.5	362.243	362.243
368.61	1118	304.663	304.663
369.11	1117.5	295.701	295.701
369.61	1117	354.606	354.606
370.11	1116.5	228.201	228.201
370.61	1116	235.827	235.827
371.11	1115.5	233.29	233.29
371.61	1115	294.924	294.924
372.11	1114.5	308.919	308.919
372.61	1114	237.695	237.695
373.11	1113.5	256.041	256.041
373.61	1113	242.55	242.55
374.11	1112.5	231.225	231.225
374.61	1112	214.515	214.515
375.11	1111.5	237.694	237.694
375.61	1111	218.747	218.747
376.11	1110.5	50.0502	50.0502
376.61	1110	41.1878	41.1878
377.11	1109.5	72.6128	72.6128
377.61	1109	104.711	104.711
378.11	1108.5	84.1525	84.1525
378.61	1108	243.981	243.981
379.11	1107.5	305.822	305.822
379.61	1107	246.062	246.062
380.11	1106.5	148.201	148.201
380.61	1106	97.4286	97.4286
381.11	1105.5	107.804	107.804
381.61	1105	286.726	286.726
382.11	1104.5	228.516	228.516
