C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
287.11	1199.5	27207.7	27207.7
287.61	1199	27269	27269
288.11	1198.5	27580.4	27580.4
288.61	1198	27842.7	27842.7
289.11	1197.5	27841.2	27841.2
289.61	1197	27998.1	27998.1
290.11	1196.5	28073.8	28073.8
290.61	1196	28289.8	28289.8
291.11	1195.5	28789.2	28789.2
291.61	1195	28497.3	28497.3
292.11	1194.5	28745.9	28745.9
292.61	1194	28778.3	28778.3
293.11	1193.5	28633.5	28633.5
293.61	1193	28848.9	28848.9
294.11	1192.5	28967.4	28967.4
294.61	1192	29190.2	29190.2
295.11	1191.5	29125.9	29125.9
295.61	1191	29055.9	29055.9
296.11	1190.5	29099.7	29099.7
296.61	1190	28863	28863
297.11	1189.5	28611.2	28611.2
297.61	1189	28630.4	28630.4
298.11	1188.5	28954.9	28954.9
298.61	1188	28685.6	28685.6
299.11	1187.5	28059.2	28059.2
299.61	1187	27728.6	27728.6
300.11	1186.5	27358.6	27358.6
300.61	1186	27884.5	27884.5
301.11	1185.5	27261.3	27261.3
301.61	1185	27329.3	27329.3
302.11	1184.5	26638.1	26638.1
302.61	1184	26172.3	26172.3
303.11	1183.5	25604.9	25604.9
303.61	1183	24747.4	24747.4
304.11	1182.5	24042.3	24042.3
304.61	1182	23631.7	23631.7
305.11	1181.5	23026.8	23026.8
305.61	1181	22548.3	22548.3
306.11	1180.5	22239.3	22239.3
306.61	1180	21678.8	21678.8
307.11	1179.5	21039.2	21039.2
307.61	1179	20266.6	20266.6
308.11	1178.5	19913.2	19913.2
308.61	1178	19502	19502
309.11	1177.5	18895.2	18895.2
309.61	1177	18191.2	18191.2
310.11	1176.5	17863.7	17863.7
310.61	1176	17593.1	17593.1
311.11	1175.5	17135.2	17135.2
311.61	1175	16912.4	16912.4
312.11	1174.5	16623.5	16623.5
312.61	1174	16599	16599
313.11	1173.5	16067.1	16067.1
313.61	1173	16092.2	16092.2
314.11	1172.5	16158.6	16158.6
314.61	1172	15559.7	15559.7
315.11	1171.5	15594	15594
315.61	1171	15607.5	15607.5
316.11	1170.5	15528.5	15528.5
316.61	1170	15731	15731
317.11	1169.5	15740.5	15740.5
317.61	1169	15556.2	15556.2
318.11	1168.5	15647.8	15647.8
318.61	1168	15413	15413
319.11	1167.5	15637.4	15637.4
319.61	1167	15439.3	15439.3
320.11	1166.5	15577.9	15577.9
320.61	1166	15617.9	15617.9
321.11	1165.5	15500.3	15500.3
321.61	1165	15527	15527
322.11	1164.5	15849.4	15849.4
322.61	1164	15828.4	15828.4
323.11	1163.5	15920.4	15920.4
323.61	1163	16242.2	16242.2
324.11	1162.5	16207	16207
324.61	1162	16196.3	16196.3
325.11	1161.5	16248	16248
325.61	1161	16430.2	16430.2
326.11	1160.5	16451	16451
326.61	1160	16534.9	16534.9
327.11	1159.5	16616.3	16616.3
327.61	1159	16696.1	16696.1
328.11	1158.5	16863.4	16863.4
328.61	1158	16823.8	16823.8
329.11	1157.5	16898.7	16898.7
329.61	1157	16627.1	16627.1
330.11	1156.5	16750.5	16750.5
330.61	1156	16872.8	16872.8
331.11	1155.5	17083.9	17083.9
331.61	1155	17158.5	17158.5
332.11	1154.5	17140.5	17140.5
332.61	1154	16816.3	16816.3
333.11	1153.5	17170.6	17170.6
333.61	1153	17269.4	17269.4
334.11	1152.5	17281.4	17281.4
334.61	1152	17365.2	17365.2
335.11	1151.5	17198	17198
335.61	1151	17034.6	17034.6
336.11	1150.5	17466	17466
336.61	1150	17284.6	17284.6
337.11	1149.5	17354.5	17354.5
337.61	1149	17370.1	17370.1
338.11	1148.5	17157.7	17157.7
338.61	1148	17244	17244
339.11	1147.5	17169.5	17169.5
339.61	1147	17100.1	17100.1
340.11	1146.5	17481.9	17481.9
340.61	1146	17651.2	17651.2
341.11	1145.5	17862.2	17862.2
341.61	1145	17685.5	17685.5
342.11	1144.5	18116.7	18116.7
342.61	1144	18379.5	18379.5
343.11	1143.5	18280.7	18280.7
343.61	1143	18697.4	18697.4
344.11	1142.5	19559.5	19559.5
344.61	1142	20030.9	20030.9
345.11	1141.5	20273	20273
345.61	1141	21069.7	21069.7
346.11	1140.5	21810.9	21810.9
346.61	1140	22515.4	22515.4
347.11	1139.5	23328.8	23328.8
347.61	1139	25268.9	25268.9
348.11	1138.5	27466.4	27466.4
348.61	1138	28434.5	28434.5
349.11	1137.5	30143.6	30143.6
349.61	1137	31282.9	31282.9
350.11	1136.5	33738.2	33738.2
350.61	1136	38329	38329
351.11	1135.5	44365.7	44365.7
351.61	1135	49697.8	49697.8
352.11	1134.5	53695.8	53695.8
352.61	1134	54293.3	54293.3
353.11	1133.5	51574.7	51574.7
353.61	1133	47837.1	47837.1
354.11	1132.5	43244.2	43244.2
354.61	1132	38868.6	38868.6
355.11	1131.5	34990.7	34990.7
355.61	1131	32146.3	32146.3
356.11	1130.5	31185.8	31185.8
356.61	1130	32681.4	32681.4
357.11	1129.5	36257.4	36257.4
357.61	1129	38608.3	38608.3
358.11	1128.5	38501.4	38501.4
358.61	1128	35797.3	35797.3
359.11	1127.5	29943.7	29943.7
359.61	1127	23168.7	23168.7
360.11	1126.5	17545.7	17545.7
360.61	1126	13875.4	13875.4
361.11	1125.5	11642.6	11642.6
361.61	1125	9872.52	9872.52
362.11	1124.5	8764.82	8764.82
362.61	1124	8185.46	8185.46
363.11	1123.5	7287.83	7287.83
363.61	1123	6598.75	6598.75
364.11	1122.5	5948.15	5948.15
364.61	1122	5303.54	5303.54
365.11	1121.5	4916.94	4916.94
365.61	1121	4306.87	4306.87
366.11	1120.5	3552.47	3552.47
366.61	1120	3174.09	3174.09
367.11	1119.5	3018.76	3018.76
367.61	1119	2938.13	2938.13
368.11	1118.5	2733.75	2733.75
368.61	1118	2494.15	2494.15
369.11	1117.5	2240.34	2240.34
369.61	1117	1836.11	1836.11
370.11	1116.5	1612.71	1612.71
370.61	1116	1619.85	1619.85
371.11	1115.5	1610.84	1610.84
371.61	1115	1430.68	1430.68
372.11	1114.5	1348.52	1348.52
372.61	1114	1105.45	1105.45
373.11	1113.5	1296.34	1296.34
373.61	1113	1099.21	1099.21
374.11	1112.5	847.759	847.759
374.61	1112	1005.71	1005.71
375.11	1111.5	1020.26	1020.26
375.61	1111	1045.57	1045.57
376.11	1110.5	726.954	726.954
376.61	1110	927.822	927.822
377.11	1109.5	770.891	770.891
377.61	1109	652.91	652.91
378.11	1108.5	576.352	576.352
378.61	1108	635.105	635.105
379.11	1107.5	637.505	637.505
379.61	1107	854.444	854.444
380.11	1106.5	882.565	882.565
380.61	1106	681.773	681.773
381.11	1105.5	565.063	565.063
381.61	1105	766.581	766.581
382.11	1104.5	299.168	299.168
382.61	1104	526.687	526.687
383.11	1103.5	525.913	525.913
383.61	1103	315.706	315.706
384.11	1102.5	627.955	627.955
384.61	1102	584.266	584.266
385.11	1101.5	573.246	573.246
385.61	1101	721.066	721.066
386.11	1100.5	781.596	781.596
386.61	1100	525.383	525.383
387.11	1099.5	368.96	368.96
387.61	1099	147.089	147.089
388.11	1098.5	470.534	470.534
388.61	1098	297.418	297.418
