C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag4d	BE_Ag4d	CPS_Ag4d	Background_Ag4d
1316.11	170.5	9121.91	9121.91
1316.61	170	9204.32	9204.32
1317.11	169.5	9282.42	9282.42
1317.61	169	9434.86	9434.86
1318.11	168.5	9337.51	9337.51
1318.61	168	9258.51	9258.51
1319.11	167.5	9448.19	9448.19
1319.61	167	9408.65	9408.65
1320.11	166.5	9457.56	9457.56
1320.61	166	9396.38	9396.38
1321.11	165.5	9327.01	9327.01
1321.61	165	9392.06	9392.06
1322.11	164.5	9276.68	9276.68
1322.61	164	9466.27	9466.27
1323.11	163.5	9343.38	9343.38
1323.61	163	9372.6	9372.6
1324.11	162.5	9510.76	9510.76
1324.61	162	9460.51	9460.51
1325.11	161.5	9459.01	9459.01
1325.61	161	9470.52	9470.52
1326.11	160.5	9457	9457
1326.61	160	9573.6	9573.6
1327.11	159.5	9444.42	9444.42
1327.61	159	9465.18	9465.18
1328.11	158.5	9478	9478
1328.61	158	9537.1	9537.1
1329.11	157.5	9554.2	9554.2
1329.61	157	9431.95	9431.95
1330.11	156.5	9484.72	9484.72
1330.61	156	9572.48	9572.48
1331.11	155.5	9551.34	9551.34
1331.61	155	9606.4	9606.4
1332.11	154.5	9557.38	9557.38
1332.61	154	9711.65	9711.65
1333.11	153.5	9846.98	9846.98
1333.61	153	9742.14	9742.14
1334.11	152.5	9586.4	9586.4
1334.61	152	9522	9522
1335.11	151.5	9759.07	9759.07
1335.61	151	9816.56	9816.56
1336.11	150.5	9823.31	9823.31
1336.61	150	9701.15	9701.15
1337.11	149.5	9678.71	9678.71
1337.61	149	9765.87	9765.87
1338.11	148.5	9786.76	9786.76
1338.61	148	9682.08	9682.08
1339.11	147.5	9663.82	9663.82
1339.61	147	9815.89	9815.89
1340.11	146.5	9828.93	9828.93
1340.61	146	9806.17	9806.17
1341.11	145.5	9825.35	9825.35
1341.61	145	9755.95	9755.95
1342.11	144.5	9729.83	9729.83
1342.61	144	9812.47	9812.47
1343.11	143.5	9785	9785
1343.61	143	9940.9	9940.9
1344.11	142.5	10030.6	10030.6
1344.61	142	10020.3	10020.3
1345.11	141.5	9984.6	9984.6
1345.61	141	9848.97	9848.97
1346.11	140.5	9999	9999
1346.61	140	10001.5	10001.5
1347.11	139.5	10088.8	10088.8
1347.61	139	9983.39	9983.39
1348.11	138.5	10058.1	10058.1
1348.61	138	10012.3	10012.3
1349.11	137.5	10144.6	10144.6
1349.61	137	10065.4	10065.4
1350.11	136.5	9948.12	9948.12
1350.61	136	10009	10009
1351.11	135.5	10030.1	10030.1
1351.61	135	10037.5	10037.5
1352.11	134.5	10063.3	10063.3
1352.61	134	10185.4	10185.4
1353.11	133.5	10108.4	10108.4
1353.61	133	10120.9	10120.9
1354.11	132.5	10163.3	10163.3
1354.61	132	10022.9	10022.9
1355.11	131.5	10049.5	10049.5
1355.61	131	10208.5	10208.5
1356.11	130.5	10107.8	10107.8
1356.61	130	10212	10212
1357.11	129.5	10215.6	10215.6
1357.61	129	10215.3	10215.3
1358.11	128.5	10242	10242
1358.61	128	10381.8	10381.8
1359.11	127.5	10324.1	10324.1
1359.61	127	10352.6	10352.6
1360.11	126.5	10176.5	10176.5
1360.61	126	10262.7	10262.7
1361.11	125.5	10310.2	10310.2
1361.61	125	10330.3	10330.3
1362.11	124.5	10386	10386
1362.61	124	10525.5	10525.5
1363.11	123.5	10362.7	10362.7
1363.61	123	10341.1	10341.1
1364.11	122.5	10458	10458
1364.61	122	10485.9	10485.9
1365.11	121.5	10514.9	10514.9
1365.61	121	10541.6	10541.6
1366.11	120.5	10625.1	10625.1
1366.61	120	10577.1	10577.1
1367.11	119.5	10487.1	10487.1
1367.61	119	10514	10514
1368.11	118.5	10575.7	10575.7
1368.61	118	10558	10558
1369.11	117.5	10440.6	10440.6
1369.61	117	10488.5	10488.5
1370.11	116.5	10593.6	10593.6
1370.61	116	10513.1	10513.1
1371.11	115.5	10428.7	10428.7
1371.61	115	10542	10542
1372.11	114.5	10531.2	10531.2
1372.61	114	10613.1	10613.1
1373.11	113.5	10483.1	10483.1
1373.61	113	10536	10536
1374.11	112.5	10657	10657
1374.61	112	10560.2	10560.2
1375.11	111.5	10464.2	10464.2
1375.61	111	10473.1	10473.1
1376.11	110.5	10422.1	10422.1
1376.61	110	10515.7	10515.7
1377.11	109.5	10644.2	10644.2
1377.61	109	10550.7	10550.7
1378.11	108.5	10388.3	10388.3
1378.61	108	10429.1	10429.1
1379.11	107.5	10432.4	10432.4
1379.61	107	10503.2	10503.2
1380.11	106.5	10485	10485
1380.61	106	10644	10644
1381.11	105.5	10703.2	10703.2
1381.61	105	10552.5	10552.5
1382.11	104.5	10569.2	10569.2
1382.61	104	10750.9	10750.9
1383.11	103.5	10904.2	10904.2
1383.61	103	11053	11053
1384.11	102.5	10915	10915
1384.61	102	10961.7	10961.7
1385.11	101.5	11017.6	11017.6
1385.61	101	11294	11294
1386.11	100.5	11452.5	11452.5
1386.61	100	11738.1	11738.1
1387.11	99.5	11875.3	11875.3
1387.61	99	12039	12039
1388.11	98.5	12403.7	12403.7
1388.61	98	12779.1	12779.1
1389.11	97.5	12823.4	12823.4
1389.61	97	12969.1	12969.1
1390.11	96.5	12713.7	12713.7
1390.61	96	12393.8	12393.8
1391.11	95.5	12031	12031
1391.61	95	11842	11842
1392.11	94.5	11339.2	11339.2
1392.61	94	11084.1	11084.1
1393.11	93.5	10898.4	10898.4
1393.61	93	10643.3	10643.3
1394.11	92.5	10628.7	10628.7
1394.61	92	10539.6	10539.6
1395.11	91.5	10387	10387
1395.61	91	10292.2	10292.2
1396.11	90.5	10372.3	10372.3
1396.61	90	10072.6	10072.6
1397.11	89.5	10186.7	10186.7
1397.61	89	10165.3	10165.3
1398.11	88.5	10078	10078
1398.61	88	10084	10084
1399.11	87.5	10088.1	10088.1
1399.61	87	10053	10053
1400.11	86.5	10100.2	10100.2
1400.61	86	10074.5	10074.5
1401.11	85.5	10246.4	10246.4
1401.61	85	10244.2	10244.2
1402.11	84.5	10063.3	10063.3
1402.61	84	10104.2	10104.2
1403.11	83.5	10166.6	10166.6
1403.61	83	10177.3	10177.3
1404.11	82.5	10246.5	10246.5
1404.61	82	10184.3	10184.3
1405.11	81.5	10037.2	10037.2
1405.61	81	10161.2	10161.2
1406.11	80.5	10142.3	10142.3
1406.61	80	10120.9	10120.9
1407.11	79.5	10267.2	10267.2
1407.61	79	10151.4	10151.4
1408.11	78.5	9978.55	9978.55
1408.61	78	9931.92	9931.92
1409.11	77.5	9931.87	9931.87
