C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag4d	BE_Ag4d	CPS_Ag4d	Background_Ag4d
1316.11	170.5	17060.9	17060.9
1316.61	170	17114.7	17114.7
1317.11	169.5	17397.7	17397.7
1317.61	169	17405.1	17405.1
1318.11	168.5	17524.3	17524.3
1318.61	168	17524.9	17524.9
1319.11	167.5	17775.3	17775.3
1319.61	167	17432.2	17432.2
1320.11	166.5	17218	17218
1320.61	166	17294.8	17294.8
1321.11	165.5	17184.3	17184.3
1321.61	165	17305.8	17305.8
1322.11	164.5	17336	17336
1322.61	164	17211	17211
1323.11	163.5	17309.2	17309.2
1323.61	163	17453.3	17453.3
1324.11	162.5	17408	17408
1324.61	162	17435.4	17435.4
1325.11	161.5	17233.2	17233.2
1325.61	161	17179	17179
1326.11	160.5	17316.2	17316.2
1326.61	160	17542.2	17542.2
1327.11	159.5	17370.6	17370.6
1327.61	159	17426.9	17426.9
1328.11	158.5	17330.3	17330.3
1328.61	158	17506.3	17506.3
1329.11	157.5	17503.5	17503.5
1329.61	157	17624.7	17624.7
1330.11	156.5	17612.2	17612.2
1330.61	156	17597.2	17597.2
1331.11	155.5	17579.1	17579.1
1331.61	155	17535.9	17535.9
1332.11	154.5	17690.2	17690.2
1332.61	154	17718.8	17718.8
1333.11	153.5	17601	17601
1333.61	153	17496.8	17496.8
1334.11	152.5	17715.4	17715.4
1334.61	152	17794.7	17794.7
1335.11	151.5	18051.9	18051.9
1335.61	151	17703.8	17703.8
1336.11	150.5	17835.9	17835.9
1336.61	150	17915.3	17915.3
1337.11	149.5	17804.8	17804.8
1337.61	149	17970.5	17970.5
1338.11	148.5	17997.8	17997.8
1338.61	148	18117.6	18117.6
1339.11	147.5	18044.6	18044.6
1339.61	147	17911.1	17911.1
1340.11	146.5	18062.9	18062.9
1340.61	146	18099.8	18099.8
1341.11	145.5	18109.7	18109.7
1341.61	145	18248.4	18248.4
1342.11	144.5	18123.1	18123.1
1342.61	144	18263.2	18263.2
1343.11	143.5	17983.3	17983.3
1343.61	143	17981.6	17981.6
1344.11	142.5	17993.4	17993.4
1344.61	142	18108.8	18108.8
1345.11	141.5	18342.3	18342.3
1345.61	141	18262.4	18262.4
1346.11	140.5	18467.2	18467.2
1346.61	140	18391.9	18391.9
1347.11	139.5	18355	18355
1347.61	139	18271.6	18271.6
1348.11	138.5	18488.6	18488.6
1348.61	138	18439.8	18439.8
1349.11	137.5	18611.9	18611.9
1349.61	137	18655.4	18655.4
1350.11	136.5	18570.5	18570.5
1350.61	136	18454.4	18454.4
1351.11	135.5	18568.6	18568.6
1351.61	135	18492.2	18492.2
1352.11	134.5	18408.3	18408.3
1352.61	134	18509.5	18509.5
1353.11	133.5	18569.4	18569.4
1353.61	133	18866.6	18866.6
1354.11	132.5	18703.9	18703.9
1354.61	132	18818.1	18818.1
1355.11	131.5	19003.8	19003.8
1355.61	131	18846.6	18846.6
1356.11	130.5	18842.2	18842.2
1356.61	130	18937.5	18937.5
1357.11	129.5	19038	19038
1357.61	129	18864.5	18864.5
1358.11	128.5	18760.5	18760.5
1358.61	128	19009.5	19009.5
1359.11	127.5	18967.7	18967.7
1359.61	127	18921.9	18921.9
1360.11	126.5	19011.3	19011.3
1360.61	126	19130.8	19130.8
1361.11	125.5	19217.8	19217.8
1361.61	125	19054.7	19054.7
1362.11	124.5	19095.6	19095.6
1362.61	124	19397.7	19397.7
1363.11	123.5	19300.4	19300.4
1363.61	123	19013.7	19013.7
1364.11	122.5	19312.4	19312.4
1364.61	122	19402.1	19402.1
1365.11	121.5	19496.1	19496.1
1365.61	121	19514.4	19514.4
1366.11	120.5	19453.1	19453.1
1366.61	120	19812.5	19812.5
1367.11	119.5	19514.3	19514.3
1367.61	119	19450.4	19450.4
1368.11	118.5	19684.1	19684.1
1368.61	118	19766.5	19766.5
1369.11	117.5	19569.5	19569.5
1369.61	117	19603.4	19603.4
1370.11	116.5	19775.6	19775.6
1370.61	116	19746.3	19746.3
1371.11	115.5	19461.9	19461.9
1371.61	115	19705.3	19705.3
1372.11	114.5	20050.2	20050.2
1372.61	114	19722.7	19722.7
1373.11	113.5	19693.4	19693.4
1373.61	113	19856.6	19856.6
1374.11	112.5	19916.5	19916.5
1374.61	112	20004.3	20004.3
1375.11	111.5	20011.6	20011.6
1375.61	111	20032	20032
1376.11	110.5	20015.4	20015.4
1376.61	110	19871.5	19871.5
1377.11	109.5	20044.4	20044.4
1377.61	109	20027.8	20027.8
1378.11	108.5	20281.7	20281.7
1378.61	108	19988.6	19988.6
1379.11	107.5	19981.4	19981.4
1379.61	107	20260.2	20260.2
1380.11	106.5	20533.6	20533.6
1380.61	106	20563.2	20563.2
1381.11	105.5	20814	20814
1381.61	105	20799.4	20799.4
1382.11	104.5	20969.3	20969.3
1382.61	104	21141.6	21141.6
1383.11	103.5	21210.4	21210.4
1383.61	103	21340.1	21340.1
1384.11	102.5	21734.3	21734.3
1384.61	102	22292.8	22292.8
1385.11	101.5	22535	22535
1385.61	101	23211.6	23211.6
1386.11	100.5	23613.3	23613.3
1386.61	100	24332.4	24332.4
1387.11	99.5	25083.5	25083.5
1387.61	99	26070.8	26070.8
1388.11	98.5	27182.4	27182.4
1388.61	98	28025.3	28025.3
1389.11	97.5	28703.5	28703.5
1389.61	97	28793	28793
1390.11	96.5	28231.4	28231.4
1390.61	96	27514.9	27514.9
1391.11	95.5	26309	26309
1391.61	95	25087.4	25087.4
1392.11	94.5	23796.9	23796.9
1392.61	94	22844.8	22844.8
1393.11	93.5	22017.7	22017.7
1393.61	93	21289.9	21289.9
1394.11	92.5	20836	20836
1394.61	92	20595.2	20595.2
1395.11	91.5	20050.5	20050.5
1395.61	91	20076.5	20076.5
1396.11	90.5	20091.7	20091.7
1396.61	90	19916	19916
1397.11	89.5	19771.1	19771.1
1397.61	89	19737.2	19737.2
1398.11	88.5	19640.5	19640.5
1398.61	88	19715.9	19715.9
1399.11	87.5	19647.3	19647.3
1399.61	87	19802.2	19802.2
1400.11	86.5	19747.1	19747.1
1400.61	86	19607.5	19607.5
1401.11	85.5	19504.8	19504.8
1401.61	85	19731.5	19731.5
1402.11	84.5	19612.9	19612.9
1402.61	84	19637.3	19637.3
1403.11	83.5	19577.1	19577.1
1403.61	83	19640.2	19640.2
1404.11	82.5	19697.3	19697.3
1404.61	82	19616.8	19616.8
1405.11	81.5	19684.4	19684.4
1405.61	81	19836.5	19836.5
1406.11	80.5	19708	19708
1406.61	80	19777.5	19777.5
1407.11	79.5	19920.4	19920.4
1407.61	79	19849.8	19849.8
1408.11	78.5	20035.2	20035.2
1408.61	78	19888.7	19888.7
1409.11	77.5	19912.2	19912.2
1409.61	77	20040.6	20040.6
1410.11	76.5	20102.6	20102.6
1410.61	76	20243.4	20243.4
