C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
960.61	526	23481.8	23481.8
961.11	525.5	23343.9	23343.9
961.61	525	23401.8	23401.8
962.11	524.5	23566	23566
962.61	524	23888.1	23888.1
963.11	523.5	23687.6	23687.6
963.61	523	23731.7	23731.7
964.11	522.5	23955.9	23955.9
964.61	522	23984.6	23984.6
965.11	521.5	23711.3	23711.3
965.61	521	23676.2	23676.2
966.11	520.5	23940.6	23940.6
966.61	520	24004.1	24004.1
967.11	519.5	23986.6	23986.6
967.61	519	23883.5	23883.5
968.11	518.5	23918.3	23918.3
968.61	518	23966.7	23966.7
969.11	517.5	23826.9	23826.9
969.61	517	24212.1	24212.1
970.11	516.5	24215.9	24215.9
970.61	516	24306.1	24306.1
971.11	515.5	24249.2	24249.2
971.61	515	24246.4	24246.4
972.11	514.5	24207.9	24207.9
972.61	514	24480.6	24480.6
973.11	513.5	24504.8	24504.8
973.61	513	24321.5	24321.5
974.11	512.5	24234	24234
974.61	512	24211.8	24211.8
975.11	511.5	24432.9	24432.9
975.61	511	24677.9	24677.9
976.11	510.5	24311.7	24311.7
976.61	510	24890.7	24890.7
977.11	509.5	24389.6	24389.6
977.61	509	24280.6	24280.6
978.11	508.5	24487.6	24487.6
978.61	508	24540	24540
979.11	507.5	24805.4	24805.4
979.61	507	24639.7	24639.7
980.11	506.5	24674	24674
980.61	506	24938.4	24938.4
981.11	505.5	25166.9	25166.9
981.61	505	24885.8	24885.8
982.11	504.5	25006.1	25006.1
982.61	504	24971.4	24971.4
983.11	503.5	25132.6	25132.6
983.61	503	25665.7	25665.7
984.11	502.5	25255.4	25255.4
984.61	502	24917.2	24917.2
985.11	501.5	25192.1	25192.1
985.61	501	25049.6	25049.6
986.11	500.5	25169.5	25169.5
986.61	500	25146.2	25146.2
987.11	499.5	25270.9	25270.9
987.61	499	25472.1	25472.1
988.11	498.5	25267.3	25267.3
988.61	498	25201	25201
989.11	497.5	25563.1	25563.1
989.61	497	25654.8	25654.8
990.11	496.5	25469.2	25469.2
990.61	496	25487.5	25487.5
991.11	495.5	25297.3	25297.3
991.61	495	25644.4	25644.4
992.11	494.5	25664.2	25664.2
992.61	494	25553.8	25553.8
993.11	493.5	25828.8	25828.8
993.61	493	25706.6	25706.6
994.11	492.5	25839.4	25839.4
994.61	492	26050	26050
995.11	491.5	26012.7	26012.7
995.61	491	25861.3	25861.3
996.11	490.5	25971.3	25971.3
996.61	490	26068.7	26068.7
997.11	489.5	26310.9	26310.9
997.61	489	26405.1	26405.1
998.11	488.5	26187.4	26187.4
998.61	488	26363.6	26363.6
999.11	487.5	26585.3	26585.3
999.61	487	26454.9	26454.9
1000.11	486.5	26481.2	26481.2
1000.61	486	26225.6	26225.6
1001.11	485.5	26032.5	26032.5
1001.61	485	26463	26463
1002.11	484.5	26721.3	26721.3
1002.61	484	26817.2	26817.2
1003.11	483.5	26752.2	26752.2
1003.61	483	26324.2	26324.2
1004.11	482.5	26526.3	26526.3
1004.61	482	26906	26906
1005.11	481.5	26677.9	26677.9
1005.61	481	26797.6	26797.6
1006.11	480.5	26867.1	26867.1
1006.61	480	27088.1	27088.1
1007.11	479.5	27092.2	27092.2
1007.61	479	27272.9	27272.9
1008.11	478.5	27104.6	27104.6
1008.61	478	27063.4	27063.4
1009.11	477.5	27514.5	27514.5
1009.61	477	27215.4	27215.4
1010.11	476.5	27390.2	27390.2
1010.61	476	27056.8	27056.8
1011.11	475.5	27511.7	27511.7
1011.61	475	27517.7	27517.7
1012.11	474.5	27425.1	27425.1
1012.61	474	27374.7	27374.7
1013.11	473.5	27256.6	27256.6
1013.61	473	27695.4	27695.4
1014.11	472.5	27582.6	27582.6
1014.61	472	27509.4	27509.4
1015.11	471.5	27952	27952
1015.61	471	27670.6	27670.6
1016.11	470.5	27674.4	27674.4
1016.61	470	27728.8	27728.8
1017.11	469.5	27822.5	27822.5
1017.61	469	27900.9	27900.9
1018.11	468.5	27809.8	27809.8
1018.61	468	28252.6	28252.6
1019.11	467.5	28362	28362
1019.61	467	28272	28272
1020.11	466.5	28366.7	28366.7
1020.61	466	28277	28277
1021.11	465.5	28234.9	28234.9
1021.61	465	28297.6	28297.6
1022.11	464.5	28547.5	28547.5
1022.61	464	28705.1	28705.1
1023.11	463.5	28368.6	28368.6
1023.61	463	28842	28842
1024.11	462.5	28583.4	28583.4
1024.61	462	28806.7	28806.7
1025.11	461.5	28799.4	28799.4
1025.61	461	29083.2	29083.2
1026.11	460.5	29117.9	29117.9
1026.61	460	29220.9	29220.9
1027.11	459.5	29113.7	29113.7
1027.61	459	29041.7	29041.7
1028.11	458.5	29644.4	29644.4
1028.61	458	29269.3	29269.3
1029.11	457.5	29147.2	29147.2
1029.61	457	29535.7	29535.7
1030.11	456.5	29907.4	29907.4
1030.61	456	29976.2	29976.2
1031.11	455.5	29787.8	29787.8
1031.61	455	29897.5	29897.5
