C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
960.61	526	50392.6	50392.6
961.11	525.5	50246.9	50246.9
961.61	525	49953.3	49953.3
962.11	524.5	50330.4	50330.4
962.61	524	50793.8	50793.8
963.11	523.5	50095.2	50095.2
963.61	523	50108.9	50108.9
964.11	522.5	50075.1	50075.1
964.61	522	50250.1	50250.1
965.11	521.5	50332.9	50332.9
965.61	521	50064.1	50064.1
966.11	520.5	50503.2	50503.2
966.61	520	50401.7	50401.7
967.11	519.5	50303.7	50303.7
967.61	519	49972.9	49972.9
968.11	518.5	50120.1	50120.1
968.61	518	50368.3	50368.3
969.11	517.5	50253.7	50253.7
969.61	517	50432.9	50432.9
970.11	516.5	50272.7	50272.7
970.61	516	50189.9	50189.9
971.11	515.5	50336.4	50336.4
971.61	515	50558.7	50558.7
972.11	514.5	50312.4	50312.4
972.61	514	50340.8	50340.8
973.11	513.5	50803.7	50803.7
973.61	513	50978.9	50978.9
974.11	512.5	51094.2	51094.2
974.61	512	50985.4	50985.4
975.11	511.5	50710	50710
975.61	511	50508.7	50508.7
976.11	510.5	50552.5	50552.5
976.61	510	51276.5	51276.5
977.11	509.5	51162.5	51162.5
977.61	509	50685.4	50685.4
978.11	508.5	51189.8	51189.8
978.61	508	51088.2	51088.2
979.11	507.5	51402.5	51402.5
979.61	507	51178.9	51178.9
980.11	506.5	51112.1	51112.1
980.61	506	51300.6	51300.6
981.11	505.5	51331.1	51331.1
981.61	505	51291.9	51291.9
982.11	504.5	51474.5	51474.5
982.61	504	51470.4	51470.4
983.11	503.5	52144.6	52144.6
983.61	503	51602.1	51602.1
984.11	502.5	51942.6	51942.6
984.61	502	51975.2	51975.2
985.11	501.5	51781.8	51781.8
985.61	501	51819.3	51819.3
986.11	500.5	52115.2	52115.2
986.61	500	52313.5	52313.5
987.11	499.5	52281.7	52281.7
987.61	499	52698.5	52698.5
988.11	498.5	52460.4	52460.4
988.61	498	52195.3	52195.3
989.11	497.5	52515.9	52515.9
989.61	497	52382	52382
