C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	5814.78
1311.71	174.9	5807.98
1311.81	174.8	5851.93
1311.91	174.7	5886.19
1312.01	174.6	5828.36
1312.11	174.5	5899
1312.21	174.4	5867.44
1312.31	174.3	5845.71
1312.41	174.2	5875.22
1312.51	174.1	5923.41
1312.61	174	5896.55
1312.71	173.9	5838.08
1312.81	173.8	5857.97
1312.91	173.7	5900.5
1313.01	173.6	5886.09
1313.11	173.5	5842.18
1313.21	173.4	5894.52
1313.31	173.3	5867.74
1313.41	173.2	5866.81
1313.51	173.1	5942.21
1313.61	173	5863.19
1313.71	172.9	5880.96
1313.81	172.8	5910.33
1313.91	172.7	5882.41
1314.01	172.6	5949.19
1314.11	172.5	5910.36
1314.21	172.4	5907.02
1314.31	172.3	5912.28
1314.41	172.2	5923.63
1314.51	172.1	5935.95
1314.61	172	5870.34
1314.71	171.9	5849.18
1314.81	171.8	5889.87
1314.91	171.7	5877.73
1315.01	171.6	5900.12
1315.11	171.5	5863.16
1315.21	171.4	5954.51
1315.31	171.3	5918.28
1315.41	171.2	5921.79
1315.51	171.1	5901.68
1315.61	171	5878.3
1315.71	170.9	5900.79
1315.81	170.8	5950.16
1315.91	170.7	5920.26
1316.01	170.6	5954.9
1316.11	170.5	6002.69
1316.21	170.4	5943.76
1316.31	170.3	5958.58
1316.41	170.2	5894.28
1316.51	170.1	5945.16
1316.61	170	5916.26
1316.71	169.9	5961.83
1316.81	169.8	5966.56
1316.91	169.7	5958.07
1317.01	169.6	5960.37
1317.11	169.5	5980.1
1317.21	169.4	5948.17
1317.31	169.3	5926.39
1317.41	169.2	5973.98
1317.51	169.1	5952.72
1317.61	169	5944.68
1317.71	168.9	5979.41
1317.81	168.8	5975.92
1317.91	168.7	5995.04
1318.01	168.6	5986.22
1318.11	168.5	5933.94
1318.21	168.4	5952.7
1318.31	168.3	5984
1318.41	168.2	5982.29
1318.51	168.1	5948.03
1318.61	168	5973.15
1318.71	167.9	5893.81
1318.81	167.8	5923.84
1318.91	167.7	5944.99
1319.01	167.6	5964.94
1319.11	167.5	6009.14
1319.21	167.4	6029.1
1319.31	167.3	5948.09
1319.41	167.2	6006.09
1319.51	167.1	5997.36
1319.61	167	5958.73
1319.71	166.9	5976.6
1319.81	166.8	5991.45
1319.91	166.7	5980.75
1320.01	166.6	5996.39
1320.11	166.5	5969.58
1320.21	166.4	5946.07
1320.31	166.3	5906.36
1320.41	166.2	6015.11
1320.51	166.1	6014.92
1320.61	166	6040.74
1320.71	165.9	6075.32
1320.81	165.8	6050.31
1320.91	165.7	6034.43
1321.01	165.6	6021.53
1321.11	165.5	5964.62
1321.21	165.4	5996.3
1321.31	165.3	6008.3
1321.41	165.2	5983.43
1321.51	165.1	6041.39
1321.61	165	6024.97
1321.71	164.9	6069.1
1321.81	164.8	6110.18
1321.91	164.7	6040.89
1322.01	164.6	6042.02
1322.11	164.5	5943.49
1322.21	164.4	5997.3
1322.31	164.3	6040.77
1322.41	164.2	5984.46
1322.51	164.1	6020.33
1322.61	164	6031.78
1322.71	163.9	6084.38
1322.81	163.8	6040.1
1322.91	163.7	5956.37
1323.01	163.6	5991.29
1323.11	163.5	5992.47
1323.21	163.4	6074.11
1323.31	163.3	6081.39
1323.41	163.2	6093.47
1323.51	163.1	6153.7
1323.61	163	6100.99
1323.71	162.9	6071.96
1323.81	162.8	6049.39
1323.91	162.7	6099.73
1324.01	162.6	6051.58
1324.11	162.5	6035.63
1324.21	162.4	5989.92
1324.31	162.3	6032.91
1324.41	162.2	6008.33
1324.51	162.1	6046.24
1324.61	162	6032.92
1324.71	161.9	6117.82
1324.81	161.8	6072.42
1324.91	161.7	6008.71
1325.01	161.6	6031.88
1325.11	161.5	6085.37
1325.21	161.4	6062.69
1325.31	161.3	6050.46
1325.41	161.2	6041.65
1325.51	161.1	6062.1
1325.61	161	6083.14
1325.71	160.9	6112.58
1325.81	160.8	6059.08
1325.91	160.7	6027.18
1326.01	160.6	6090.93
1326.11	160.5	6108.85
1326.21	160.4	6113.42
1326.31	160.3	6102.17
1326.41	160.2	6112.09
1326.51	160.1	6158.25
1326.61	160	6105.27
1326.71	159.9	6095.75
1326.81	159.8	6139.57
1326.91	159.7	6093.46
1327.01	159.6	6125.16
1327.11	159.5	6118.42
1327.21	159.4	6139.07
1327.31	159.3	6133.07
1327.41	159.2	6134.81
1327.51	159.1	6163.22
1327.61	159	6124.08
1327.71	158.9	6130.59
1327.81	158.8	6079.79
1327.91	158.7	6187.12
1328.01	158.6	6122.67
1328.11	158.5	6101.14
1328.21	158.4	6130.3
1328.31	158.3	6163.7
1328.41	158.2	6126.36
1328.51	158.1	6113.55
1328.61	158	6166.03
1328.71	157.9	6185.63
1328.81	157.8	6204.7
1328.91	157.7	6208.32
1329.01	157.6	6219.98
1329.11	157.5	6178.46
1329.21	157.4	6223.65
1329.31	157.3	6242.58
1329.41	157.2	6185.07
1329.51	157.1	6214.15
1329.61	157	6177.37
1329.71	156.9	6179.5
1329.81	156.8	6211.75
1329.91	156.7	6164.42
1330.01	156.6	6187.23
1330.11	156.5	6176.97
1330.21	156.4	6198.7
1330.31	156.3	6210.61
1330.41	156.2	6279.15
1330.51	156.1	6209.39
1330.61	156	6223.3
1330.71	155.9	6135.42
1330.81	155.8	6174.99
1330.91	155.7	6162.28
1331.01	155.6	6193.41
1331.11	155.5	6166.22
1331.21	155.4	6162.6
1331.31	155.3	6232.56
1331.41	155.2	6185.01
1331.51	155.1	6178.65
1331.61	155	6220.26
1331.71	154.9	6232.94
1331.81	154.8	6144.78
1331.91	154.7	6221.16
1332.01	154.6	6238.29
1332.11	154.5	6179.91
1332.21	154.4	6234.1
1332.31	154.3	6211.16
1332.41	154.2	6213.65
1332.51	154.1	6194.4
1332.61	154	6232.89
1332.71	153.9	6210.19
