C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	10593.3
1311.71	174.9	10602.5
1311.81	174.8	10608.1
1311.91	174.7	10713.4
1312.01	174.6	10651.1
1312.11	174.5	10672.3
1312.21	174.4	10628.8
1312.31	174.3	10652.4
1312.41	174.2	10597
1312.51	174.1	10667
1312.61	174	10742.7
1312.71	173.9	10698.5
1312.81	173.8	10728.5
1312.91	173.7	10671.5
1313.01	173.6	10639.8
1313.11	173.5	10624.1
1313.21	173.4	10647.6
1313.31	173.3	10646.5
1313.41	173.2	10744.5
1313.51	173.1	10650.1
1313.61	173	10601.7
1313.71	172.9	10641.2
1313.81	172.8	10683.5
1313.91	172.7	10676.1
1314.01	172.6	10719.1
1314.11	172.5	10674.1
1314.21	172.4	10592.3
1314.31	172.3	10606.1
1314.41	172.2	10616.3
1314.51	172.1	10625.6
1314.61	172	10669.1
1314.71	171.9	10638
1314.81	171.8	10761.3
1314.91	171.7	10710.2
1315.01	171.6	10677.6
1315.11	171.5	10733.6
1315.21	171.4	10661.8
1315.31	171.3	10752.9
1315.41	171.2	10715.9
1315.51	171.1	10758.3
1315.61	171	10709.6
1315.71	170.9	10640.1
1315.81	170.8	10766.1
1315.91	170.7	10771.5
1316.01	170.6	10795.1
1316.11	170.5	10760.3
1316.21	170.4	10817.4
1316.31	170.3	10664.9
1316.41	170.2	10675.2
1316.51	170.1	10688.1
1316.61	170	10690.7
1316.71	169.9	10784.4
1316.81	169.8	10750.2
1316.91	169.7	10710.9
1317.01	169.6	10801.6
1317.11	169.5	10778.5
1317.21	169.4	10638.8
1317.31	169.3	10603.6
1317.41	169.2	10744.5
1317.51	169.1	10838.8
1317.61	169	10778.1
1317.71	168.9	10761.7
1317.81	168.8	10726.6
1317.91	168.7	10783.7
1318.01	168.6	10775.4
1318.11	168.5	10871.7
1318.21	168.4	10792.3
1318.31	168.3	10798.5
1318.41	168.2	10707
1318.51	168.1	10826.2
1318.61	168	10819.9
1318.71	167.9	10815.4
1318.81	167.8	10737.8
1318.91	167.7	10853.1
1319.01	167.6	10838.1
1319.11	167.5	10805.7
1319.21	167.4	10759.5
1319.31	167.3	10811.3
1319.41	167.2	10893
1319.51	167.1	10782.5
1319.61	167	10890.3
1319.71	166.9	10875.7
1319.81	166.8	10708.8
1319.91	166.7	10763.9
1320.01	166.6	10811.1
1320.11	166.5	10800.5
1320.21	166.4	10838.7
1320.31	166.3	10790.4
1320.41	166.2	10893.7
1320.51	166.1	10772.2
1320.61	166	10790.2
1320.71	165.9	10806
1320.81	165.8	10829.9
1320.91	165.7	10858.6
1321.01	165.6	10889.6
1321.11	165.5	10918.3
1321.21	165.4	10935.1
1321.31	165.3	10901
1321.41	165.2	10876.1
1321.51	165.1	10821.4
1321.61	165	10898.2
1321.71	164.9	10880.4
1321.81	164.8	10743.8
1321.91	164.7	10840.2
1322.01	164.6	10876.3
1322.11	164.5	10852.9
1322.21	164.4	10848.3
1322.31	164.3	10955.1
1322.41	164.2	10920.6
1322.51	164.1	10927.9
1322.61	164	10977.5
1322.71	163.9	10871.5
1322.81	163.8	10902.2
1322.91	163.7	10970.4
1323.01	163.6	10920.7
1323.11	163.5	10849.9
1323.21	163.4	10888
1323.31	163.3	10874.9
1323.41	163.2	10925.1
1323.51	163.1	10900.3
1323.61	163	10898.6
1323.71	162.9	10893.1
1323.81	162.8	10961.9
1323.91	162.7	10985.9
1324.01	162.6	10917.3
1324.11	162.5	10890
1324.21	162.4	10971.2
1324.31	162.3	10946.4
1324.41	162.2	10977.7
1324.51	162.1	10994.1
1324.61	162	11001.2
1324.71	161.9	10967.9
1324.81	161.8	11002.5
1324.91	161.7	11012.2
1325.01	161.6	11041.3
1325.11	161.5	10973.3
1325.21	161.4	10934.8
1325.31	161.3	11004.1
1325.41	161.2	10981.3
1325.51	161.1	11004.5
1325.61	161	11055
1325.71	160.9	10961
1325.81	160.8	11045.6
1325.91	160.7	10942.9
1326.01	160.6	11029.6
1326.11	160.5	10974.7
1326.21	160.4	11024.8
1326.31	160.3	11065.6
1326.41	160.2	10993.8
1326.51	160.1	11041.8
1326.61	160	11104.1
1326.71	159.9	11044.1
1326.81	159.8	11073.9
1326.91	159.7	11206.7
1327.01	159.6	11121.3
1327.11	159.5	11138.8
1327.21	159.4	11017.5
1327.31	159.3	11058.5
1327.41	159.2	11054
1327.51	159.1	11076.8
1327.61	159	11048
1327.71	158.9	11064.4
1327.81	158.8	11082.6
1327.91	158.7	11052.3
1328.01	158.6	11137.7
1328.11	158.5	11069.9
1328.21	158.4	11109.6
1328.31	158.3	11109.7
1328.41	158.2	11075.7
1328.51	158.1	11083.5
1328.61	158	11124.6
1328.71	157.9	11027.1
1328.81	157.8	11098.2
1328.91	157.7	11136.2
1329.01	157.6	11156.1
1329.11	157.5	11144
1329.21	157.4	11207.2
1329.31	157.3	11103.8
1329.41	157.2	11086.1
1329.51	157.1	11171.5
