C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.5
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	5031.24
456.71	1029.9	5040.87
456.81	1029.8	5063.31
456.91	1029.7	5088.03
457.01	1029.6	5005.47
457.11	1029.5	5050.8
457.21	1029.4	5084.92
457.31	1029.3	5096.79
457.41	1029.2	5085.85
457.51	1029.1	5113.14
457.61	1029	5129.01
457.71	1028.9	5105.82
457.81	1028.8	5103.05
457.91	1028.7	5081.59
458.01	1028.6	5120.24
458.11	1028.5	5113.13
458.21	1028.4	5073.73
458.31	1028.3	5079.09
458.41	1028.2	5071.3
458.51	1028.1	5130.88
458.61	1028	5112.71
458.71	1027.9	5070.95
458.81	1027.8	5104.45
458.91	1027.7	5067.3
459.01	1027.6	5074.39
459.11	1027.5	5093.29
459.21	1027.4	5137.98
459.31	1027.3	5121.28
459.41	1027.2	5133.52
459.51	1027.1	5105.44
459.61	1027	5054.15
459.71	1026.9	5097.4
459.81	1026.8	5119.72
459.91	1026.7	5091.79
460.01	1026.6	5144.21
460.11	1026.5	5131.45
460.21	1026.4	5206.47
460.31	1026.3	5186.94
460.41	1026.2	5193.09
460.51	1026.1	5165.61
460.61	1026	5178.45
460.71	1025.9	5161.14
460.81	1025.8	5096.48
460.91	1025.7	5123.81
461.01	1025.6	5138.07
461.11	1025.5	5136.12
461.21	1025.4	5148.53
461.31	1025.3	5149.54
461.41	1025.2	5200.12
461.51	1025.1	5208.76
461.61	1025	5188.44
461.71	1024.9	5170.84
461.81	1024.8	5167.92
461.91	1024.7	5167.08
462.01	1024.6	5122.51
462.11	1024.5	5193.04
462.21	1024.4	5183.31
462.31	1024.3	5206.28
462.41	1024.2	5204.54
462.51	1024.1	5179.76
462.61	1024	5220.25
462.71	1023.9	5178.67
462.81	1023.8	5153.86
462.91	1023.7	5156.93
463.01	1023.6	5144.16
463.11	1023.5	5206.11
463.21	1023.4	5214.64
463.31	1023.3	5180.38
463.41	1023.2	5186.45
463.51	1023.1	5211.09
463.61	1023	5206.39
463.71	1022.9	5161.73
463.81	1022.8	5182.17
463.91	1022.7	5203.04
464.01	1022.6	5231.9
464.11	1022.5	5238.84
464.21	1022.4	5238.38
464.31	1022.3	5251.55
464.41	1022.2	5239.7
464.51	1022.1	5248.02
464.61	1022	5227.41
464.71	1021.9	5231.68
464.81	1021.8	5242.07
464.91	1021.7	5235.05
465.01	1021.6	5215.69
465.11	1021.5	5253.96
465.21	1021.4	5213.17
465.31	1021.3	5228.68
465.41	1021.2	5233.67
465.51	1021.1	5219.63
465.61	1021	5247.84
465.71	1020.9	5286.31
465.81	1020.8	5260.55
465.91	1020.7	5262.57
466.01	1020.6	5298.1
466.11	1020.5	5274.76
