C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	1113.72
456.71	1029.9	1104.05
456.81	1029.8	1105.17
456.91	1029.7	1080.26
457.01	1029.6	1094.33
457.11	1029.5	1081.72
457.21	1029.4	1072.31
457.31	1029.3	1116.86
457.41	1029.2	1105.39
457.51	1029.1	1106.53
457.61	1029	1088.06
457.71	1028.9	1116.45
457.81	1028.8	1120.49
457.91	1028.7	1079.57
458.01	1028.6	1109.13
458.11	1028.5	1108.65
458.21	1028.4	1120.18
458.31	1028.3	1113.8
458.41	1028.2	1090.61
458.51	1028.1	1145.3
458.61	1028	1102.45
458.71	1027.9	1108.32
458.81	1027.8	1102.62
458.91	1027.7	1096.45
459.01	1027.6	1094.25
459.11	1027.5	1113.51
459.21	1027.4	1121.05
459.31	1027.3	1115.21
459.41	1027.2	1105.27
459.51	1027.1	1113.96
459.61	1027	1101.9
459.71	1026.9	1096.07
459.81	1026.8	1087.6
459.91	1026.7	1110.76
460.01	1026.6	1106.33
460.11	1026.5	1139.63
460.21	1026.4	1097.58
460.31	1026.3	1101.17
460.41	1026.2	1114.78
460.51	1026.1	1109.52
460.61	1026	1095.28
460.71	1025.9	1113.14
460.81	1025.8	1134.94
460.91	1025.7	1125.46
461.01	1025.6	1131
461.11	1025.5	1112.82
461.21	1025.4	1098.76
461.31	1025.3	1150.91
461.41	1025.2	1122.85
461.51	1025.1	1163.32
461.61	1025	1140.07
461.71	1024.9	1125.6
461.81	1024.8	1108.08
461.91	1024.7	1127.74
462.01	1024.6	1117.47
462.11	1024.5	1089.8
462.21	1024.4	1101.49
462.31	1024.3	1124.46
462.41	1024.2	1135.53
462.51	1024.1	1120.27
462.61	1024	1119.53
462.71	1023.9	1072.24
462.81	1023.8	1126.8
462.91	1023.7	1124.82
463.01	1023.6	1104.27
463.11	1023.5	1087.37
463.21	1023.4	1140.55
463.31	1023.3	1140.82
463.41	1023.2	1105.51
463.51	1023.1	1133
463.61	1023	1121.53
463.71	1022.9	1138.91
463.81	1022.8	1127.43
463.91	1022.7	1163.37
464.01	1022.6	1141.36
464.11	1022.5	1130.03
464.21	1022.4	1132.84
464.31	1022.3	1122.16
464.41	1022.2	1115.62
464.51	1022.1	1150.69
464.61	1022	1153.58
464.71	1021.9	1133.35
464.81	1021.8	1095.54
464.91	1021.7	1119.91
465.01	1021.6	1132.95
465.11	1021.5	1138.47
465.21	1021.4	1118.87
465.31	1021.3	1134.9
465.41	1021.2	1175.45
465.51	1021.1	1153.36
