C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	22304.2
456.71	1029.9	22310
456.81	1029.8	22276.1
456.91	1029.7	22490.1
457.01	1029.6	22413.1
457.11	1029.5	22420.3
457.21	1029.4	22281.2
457.31	1029.3	22334.1
457.41	1029.2	22460.9
457.51	1029.1	22408.3
457.61	1029	22233.1
457.71	1028.9	22348.7
457.81	1028.8	22346.3
457.91	1028.7	22362.3
458.01	1028.6	22321.4
458.11	1028.5	22363.7
458.21	1028.4	22291.4
458.31	1028.3	22517.2
458.41	1028.2	22449.2
458.51	1028.1	22390.2
458.61	1028	22415.9
458.71	1027.9	22488.2
458.81	1027.8	22321.9
458.91	1027.7	22332.5
459.01	1027.6	22442
459.11	1027.5	22388.6
459.21	1027.4	22446.9
459.31	1027.3	22454.9
459.41	1027.2	22410.1
459.51	1027.1	22380.4
459.61	1027	22471.9
459.71	1026.9	22659.9
459.81	1026.8	22594.9
459.91	1026.7	22612.9
460.01	1026.6	22610.6
460.11	1026.5	22603.8
460.21	1026.4	22522.3
460.31	1026.3	22680.5
460.41	1026.2	22618.5
460.51	1026.1	22630.8
460.61	1026	22623.8
460.71	1025.9	22547.3
460.81	1025.8	22538.1
460.91	1025.7	22645
461.01	1025.6	22651.7
461.11	1025.5	22630.4
461.21	1025.4	22597.4
461.31	1025.3	22557.8
461.41	1025.2	22589.7
461.51	1025.1	22582.1
461.61	1025	22691.1
461.71	1024.9	22659.7
461.81	1024.8	22562.9
461.91	1024.7	22557.7
462.01	1024.6	22790.8
462.11	1024.5	22725.5
462.21	1024.4	22590.9
462.31	1024.3	22605.8
462.41	1024.2	22665.7
462.51	1024.1	22584
462.61	1024	22641.7
462.71	1023.9	22553.3
462.81	1023.8	22753
462.91	1023.7	22732.3
463.01	1023.6	22695.3
463.11	1023.5	22610.9
463.21	1023.4	22698.5
463.31	1023.3	22616.2
463.41	1023.2	22740.1
463.51	1023.1	22642.5
463.61	1023	22716.2
463.71	1022.9	22636.8
463.81	1022.8	22661.9
463.91	1022.7	22717.2
464.01	1022.6	22818.2
464.11	1022.5	22736.4
464.21	1022.4	22754.9
464.31	1022.3	22757.1
464.41	1022.2	22757.5
464.51	1022.1	22777
464.61	1022	22759.1
464.71	1021.9	22904.7
464.81	1021.8	22831.3
464.91	1021.7	22746.7
465.01	1021.6	22674.7
465.11	1021.5	22779.6
465.21	1021.4	22906.6
465.31	1021.3	22817.4
465.41	1021.2	22814.6
465.51	1021.1	22720.1
465.61	1021	22880.6
465.71	1020.9	22863.9
465.81	1020.8	23016.5
465.91	1020.7	23003.6
466.01	1020.6	22892.4
466.11	1020.5	22838.9
466.21	1020.4	22886.6
466.31	1020.3	22871.8
466.41	1020.2	23076.4
466.51	1020.1	22910.7
466.61	1020	22843.3
466.71	1019.9	22898.2
466.81	1019.8	22929.8
466.91	1019.7	23039.7
467.01	1019.6	23007.5
467.11	1019.5	22958.3
467.21	1019.4	22976.8
467.31	1019.3	22938.3
467.41	1019.2	22894.4
467.51	1019.1	23077.4
467.61	1019	22933.2
467.71	1018.9	22938.4
467.81	1018.8	23037.9
467.91	1018.7	23023.9
468.01	1018.6	23014.2
468.11	1018.5	23024.5
468.21	1018.4	23066.9
468.31	1018.3	23163.1
468.41	1018.2	23281.6
468.51	1018.1	23287.1
468.61	1018	23090
468.71	1017.9	23110.6
468.81	1017.8	23097
468.91	1017.7	23214.2
469.01	1017.6	23198.9
469.11	1017.5	23011
469.21	1017.4	23058.1
469.31	1017.3	23327.8
469.41	1017.2	23283.5
469.51	1017.1	23142
469.61	1017	22970.8
469.71	1016.9	23061
469.81	1016.8	23312.5
469.91	1016.7	23313.9
470.01	1016.6	23283.3
470.11	1016.5	23052.1
470.21	1016.4	23199.1
470.31	1016.3	23157.7
470.41	1016.2	23059.4
470.51	1016.1	23102.9
470.61	1016	23297.6
470.71	1015.9	23200.1
470.81	1015.8	23196.3
470.91	1015.7	23162.5
471.01	1015.6	23287.9
471.11	1015.5	23276.3
471.21	1015.4	23180.6
471.31	1015.3	23307.6
471.41	1015.2	23243.5
471.51	1015.1	23334.1
471.61	1015	23314.4
471.71	1014.9	23216.7
471.81	1014.8	23374.2
471.91	1014.7	23401.2
472.01	1014.6	23472.2
472.11	1014.5	23488
472.21	1014.4	23420.5
472.31	1014.3	23343.1
472.41	1014.2	23390.9
472.51	1014.1	23365.7
472.61	1014	23436.5
472.71	1013.9	23362.3
472.81	1013.8	23426.8
472.91	1013.7	23532.1
473.01	1013.6	23422.4
473.11	1013.5	23572.1
473.21	1013.4	23439.1
473.31	1013.3	23412.7
473.41	1013.2	23440.6
473.51	1013.1	23443.1
473.61	1013	23513
473.71	1012.9	23436.4
473.81	1012.8	23503.7
473.91	1012.7	23467.7
474.01	1012.6	23474.5
474.11	1012.5	23486.6
474.21	1012.4	23516.2
474.31	1012.3	23535.8
474.41	1012.2	23536
474.51	1012.1	23445.9
474.61	1012	23655.4
474.71	1011.9	23586.5
474.81	1011.8	23591.7
474.91	1011.7	23626.1
475.01	1011.6	23731.9
475.11	1011.5	23754.9
475.21	1011.4	23584.5
475.31	1011.3	23673.4
475.41	1011.2	23619.9
475.51	1011.1	23754.1
475.61	1011	23612.7
475.71	1010.9	23530.4
475.81	1010.8	23630.5
475.91	1010.7	23610.2
476.01	1010.6	23478.7
476.11	1010.5	23625.1
476.21	1010.4	23674
476.31	1010.3	23648.4
476.41	1010.2	23666.6
476.51	1010.1	23633
476.61	1010	23813.7
476.71	1009.9	23806.3
476.81	1009.8	23917.6
476.91	1009.7	23670
477.01	1009.6	23681.7
477.11	1009.5	23867
477.21	1009.4	23849.3
477.31	1009.3	23792.5
477.41	1009.2	23767.9
477.51	1009.1	23847.7
477.61	1009	23923.5
477.71	1008.9	23939.2
477.81	1008.8	23919.2
477.91	1008.7	23854
478.01	1008.6	23838.3
478.11	1008.5	23755.5
478.21	1008.4	23855.9
478.31	1008.3	23856.7
478.41	1008.2	23935.7
478.51	1008.1	23939.2
478.61	1008	23924.9
478.71	1007.9	24055.4
478.81	1007.8	23925.4
478.91	1007.7	23985.8
479.01	1007.6	23961.6
479.11	1007.5	23882.5
479.21	1007.4	23953
479.31	1007.3	23900.6
479.41	1007.2	23791.2
479.51	1007.1	23873.6
479.61	1007	23909.5
479.71	1006.9	23992.2
479.81	1006.8	23915.9
479.91	1006.7	23956.3
480.01	1006.6	23964.2
480.11	1006.5	23944.1
480.21	1006.4	23934.3
480.31	1006.3	23828.5
480.41	1006.2	23934.5
480.51	1006.1	24055.2
480.61	1006	23974.3
480.71	1005.9	23974.6
480.81	1005.8	24035.5
480.91	1005.7	23963.6
481.01	1005.6	24106.5
481.11	1005.5	23943.2
481.21	1005.4	23811.3
481.31	1005.3	23994.3
481.41	1005.2	24054.7
481.51	1005.1	24037.3
481.61	1005	24075.4
481.71	1004.9	23955.4
481.81	1004.8	23939.8
481.91	1004.7	24076.2
482.01	1004.6	23902.4
482.11	1004.5	23921.5
482.21	1004.4	24007.3
482.31	1004.3	24128.1
482.41	1004.2	24077
482.51	1004.1	24098
482.61	1004	24050.3
482.71	1003.9	24069
482.81	1003.8	23974.3
482.91	1003.7	23952.6
483.01	1003.6	24026.3
483.11	1003.5	24039.5
483.21	1003.4	24110.3
483.31	1003.3	24122.4
483.41	1003.2	24045.4
483.51	1003.1	24164.9
483.61	1003	24149.9
483.71	1002.9	24210.1
483.81	1002.8	24235.3
483.91	1002.7	24125.8
484.01	1002.6	24078.1
484.11	1002.5	24047.3
484.21	1002.4	24198.8
484.31	1002.3	24227.9
484.41	1002.2	24250.5
484.51	1002.1	24159.4
484.61	1002	24093.5
484.71	1001.9	24213.9
484.81	1001.8	24242.8
484.91	1001.7	24202.6
