C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	23188
456.71	1029.9	23338.8
456.81	1029.8	23366.2
456.91	1029.7	23187.7
457.01	1029.6	23234.9
457.11	1029.5	23164.4
457.21	1029.4	23296
457.31	1029.3	23332.1
457.41	1029.2	23369.9
457.51	1029.1	23470.9
457.61	1029	23386
457.71	1028.9	23273.5
457.81	1028.8	23308.3
457.91	1028.7	23410.8
458.01	1028.6	23460.1
458.11	1028.5	23517.4
458.21	1028.4	23417.3
458.31	1028.3	23307.1
458.41	1028.2	23366.4
458.51	1028.1	23482
458.61	1028	23307.9
458.71	1027.9	23363.6
458.81	1027.8	23403.5
458.91	1027.7	23367.7
459.01	1027.6	23318.9
459.11	1027.5	23228.4
459.21	1027.4	23342
459.31	1027.3	23388.2
459.41	1027.2	23409
459.51	1027.1	23423.4
459.61	1027	23392.5
459.71	1026.9	23436.7
459.81	1026.8	23430.1
459.91	1026.7	23393.8
460.01	1026.6	23492.2
460.11	1026.5	23469.8
460.21	1026.4	23432
460.31	1026.3	23527.6
460.41	1026.2	23449.8
460.51	1026.1	23495.4
460.61	1026	23484.9
460.71	1025.9	23412.1
460.81	1025.8	23551.7
460.91	1025.7	23452.1
461.01	1025.6	23460.3
461.11	1025.5	23570
461.21	1025.4	23555.6
461.31	1025.3	23519.9
461.41	1025.2	23629.6
461.51	1025.1	23603.5
461.61	1025	23508
461.71	1024.9	23491.2
461.81	1024.8	23574.8
461.91	1024.7	23536.1
462.01	1024.6	23495.9
462.11	1024.5	23532.2
462.21	1024.4	23560.5
462.31	1024.3	23723.7
462.41	1024.2	23590.3
462.51	1024.1	23662.1
462.61	1024	23581.7
462.71	1023.9	23561.7
462.81	1023.8	23662.1
462.91	1023.7	23645.9
463.01	1023.6	23537.7
463.11	1023.5	23707.4
463.21	1023.4	23801
463.31	1023.3	23789.3
463.41	1023.2	23629.7
463.51	1023.1	23585.5
463.61	1023	23712.6
463.71	1022.9	23630.6
463.81	1022.8	23649
463.91	1022.7	23691.3
464.01	1022.6	23754.7
464.11	1022.5	23804.3
464.21	1022.4	23715.3
464.31	1022.3	23673.4
464.41	1022.2	23792.5
464.51	1022.1	23656.9
464.61	1022	23648.1
464.71	1021.9	23720.7
464.81	1021.8	23768.3
464.91	1021.7	23777.7
465.01	1021.6	23768.6
465.11	1021.5	23796.7
465.21	1021.4	23787.3
465.31	1021.3	23730
465.41	1021.2	23724.8
465.51	1021.1	23890.6
465.61	1021	23855.7
465.71	1020.9	23864.7
465.81	1020.8	23734.9
465.91	1020.7	23758.3
466.01	1020.6	23811.6
466.11	1020.5	23834.4
466.21	1020.4	23909.7
466.31	1020.3	24027.8
466.41	1020.2	23846.1
466.51	1020.1	23775.5
466.61	1020	23893.5
466.71	1019.9	23827.8
466.81	1019.8	23919.9
466.91	1019.7	23979.8
467.01	1019.6	24044.4
467.11	1019.5	23881.1
467.21	1019.4	23857.8
467.31	1019.3	23946.9
467.41	1019.2	23990.2
467.51	1019.1	23899.5
467.61	1019	23851.6
467.71	1018.9	24030.7
467.81	1018.8	23964.2
467.91	1018.7	24060.4
468.01	1018.6	24083.9
468.11	1018.5	24007.1
468.21	1018.4	24072.1
468.31	1018.3	24059.1
468.41	1018.2	23970.7
468.51	1018.1	24067.2
468.61	1018	24071.3
468.71	1017.9	24023.1
468.81	1017.8	23956.9
468.91	1017.7	24081.7
469.01	1017.6	24201.5
469.11	1017.5	24200.5
469.21	1017.4	23996
469.31	1017.3	24010.5
469.41	1017.2	24136.3
469.51	1017.1	24143.8
469.61	1017	24181.8
469.71	1016.9	24121.7
469.81	1016.8	24027
469.91	1016.7	23973
470.01	1016.6	24248.6
470.11	1016.5	24235.5
470.21	1016.4	24213.1
470.31	1016.3	24151.1
470.41	1016.2	24209.4
470.51	1016.1	24140.7
470.61	1016	24232.3
470.71	1015.9	24221
470.81	1015.8	24262
470.91	1015.7	24303.7
471.01	1015.6	24297.9
471.11	1015.5	24331.4
471.21	1015.4	24339.4
471.31	1015.3	24230.6
471.41	1015.2	24146.6
471.51	1015.1	24403.9
471.61	1015	24339.2
471.71	1014.9	24374.9
471.81	1014.8	24278.7
471.91	1014.7	24331
472.01	1014.6	24351.1
472.11	1014.5	24307.9
472.21	1014.4	24382.8
472.31	1014.3	24362.4
472.41	1014.2	24381.2
472.51	1014.1	24326.6
472.61	1014	24427.3
472.71	1013.9	24357.6
472.81	1013.8	24397.8
472.91	1013.7	24389
473.01	1013.6	24412.5
473.11	1013.5	24408.6
473.21	1013.4	24533.1
473.31	1013.3	24475.9
473.41	1013.2	24440.8
473.51	1013.1	24502.2
473.61	1013	24518.1
473.71	1012.9	24507.7
473.81	1012.8	24612.9
473.91	1012.7	24490
474.01	1012.6	24517.4
474.11	1012.5	24450.7
474.21	1012.4	24531.1
474.31	1012.3	24333
474.41	1012.2	24594.8
474.51	1012.1	24678.6
474.61	1012	24580.8
474.71	1011.9	24638
474.81	1011.8	24522.5
474.91	1011.7	24517.2
475.01	1011.6	24471.7
475.11	1011.5	24533.4
475.21	1011.4	24627.7
475.31	1011.3	24783
475.41	1011.2	24677
475.51	1011.1	24656.3
475.61	1011	24546.8
475.71	1010.9	24524.7
475.81	1010.8	24703.1
475.91	1010.7	24742.1
476.01	1010.6	24661.2
476.11	1010.5	24651.8
476.21	1010.4	24794.8
476.31	1010.3	24627.5
476.41	1010.2	24750.9
476.51	1010.1	24790.4
476.61	1010	24764.1
476.71	1009.9	24914.3
476.81	1009.8	24826.5
476.91	1009.7	24952.7
477.01	1009.6	24861.9
477.11	1009.5	24702.1
477.21	1009.4	24766.8
477.31	1009.3	24739.4
477.41	1009.2	24912.5
477.51	1009.1	24797.7
477.61	1009	24760.2
477.71	1008.9	24761.6
477.81	1008.8	24936.2
477.91	1008.7	24950.9
