CasaXP16_vb_regions_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
288.61	1198	64.4372	64.4372
289.11	1197.5	63.2638	63.2638
289.61	1197	65.446	65.446
290.11	1196.5	59.1657	59.1657
290.61	1196	68.2679	68.2679
291.11	1195.5	84.1602	84.1602
291.61	1195	75.0437	75.0437
292.11	1194.5	75.6982	75.6982
292.61	1194	65.1586	65.1586
293.11	1193.5	73.0017	73.0017
293.61	1193	61.3694	61.3694
294.11	1192.5	60.6197	60.6197
294.61	1192	67.9183	67.9183
295.11	1191.5	73.9692	73.9692
295.61	1191	61.5792	61.5792
296.11	1190.5	58.3312	58.3312
296.61	1190	49.8782	49.8782
297.11	1189.5	69.8598	69.8598
297.61	1189	51.4991	51.4991
298.11	1188.5	57.1109	57.1109
298.61	1188	53.4171	53.4171
299.11	1187.5	46.6475	46.6475
299.61	1187	51.1391	51.1391
300.11	1186.5	51.2827	51.2827
300.61	1186	55.3192	55.3192
301.11	1185.5	57.2554	57.2554
301.61	1185	58.5203	58.5203
302.11	1184.5	43.3706	43.3706
302.61	1184	62.9624	62.9624
303.11	1183.5	67.6344	67.6344
303.61	1183	56.1726	56.1726
304.11	1182.5	58.5467	58.5467
304.61	1182	54.9668	54.9668
305.11	1181.5	65.2926	65.2926
305.61	1181	57.9741	57.9741
306.11	1180.5	49.411	49.411
306.61	1180	46.6434	46.6434
307.11	1179.5	62.951	62.951
307.61	1179	82.2638	82.2638
308.11	1178.5	62.9715	62.9715
308.61	1178	62.6942	62.6942
309.11	1177.5	54.2416	54.2416
309.61	1177	59.7437	59.7437
310.11	1176.5	50.3003	50.3003
310.61	1176	55.1113	55.1113
311.11	1175.5	55.4565	55.4565
311.61	1175	56.3559	56.3559
312.11	1174.5	45.4593	45.4593
312.61	1174	53.8366	53.8366
313.11	1173.5	65.3077	65.3077
313.61	1173	60.8924	60.8924
314.11	1172.5	73.1806	73.1806
314.61	1172	60.2822	60.2822
315.11	1171.5	62.8071	62.8071
315.61	1171	79.8151	79.8151
316.11	1170.5	48.7062	48.7062
316.61	1170	56.3401	56.3401
317.11	1169.5	59.0369	59.0369
317.61	1169	61.9762	61.9762
318.11	1168.5	77.4481	77.4481
318.61	1168	59.1624	59.1624
319.11	1167.5	53.199	53.199
319.61	1167	72.7377	72.7377
320.11	1166.5	55.3684	55.3684
320.61	1166	63.8211	63.8211
321.11	1165.5	56.1955	56.1955
321.61	1165	68.5715	68.5715
322.11	1164.5	72.3891	72.3891
322.61	1164	75.7881	75.7881
323.11	1163.5	59.9783	59.9783
323.61	1163	58.7197	58.7197
324.11	1162.5	69.4022	69.4022
324.61	1162	63.5355	63.5355
325.11	1161.5	84.5396	84.5396
325.61	1161	77.7844	77.7844
326.11	1160.5	65.2797	65.2797
326.61	1160	70.4853	70.4853
327.11	1159.5	63.0313	63.0313
327.61	1159	73.1974	73.1974
328.11	1158.5	75.0836	75.0836
328.61	1158	77.1197	77.1197
329.11	1157.5	65.0955	65.0955
329.61	1157	81.361	81.361
330.11	1156.5	61.396	61.396
330.61	1156	54.9905	54.9905
331.11	1155.5	63.4344	63.4344
331.61	1155	57.9079	57.9079
332.11	1154.5	66.581	66.581
332.61	1154	75.7737	75.7737
333.11	1153.5	87.8862	87.8862
333.61	1153	94.8986	94.8986
334.11	1152.5	70.9208	70.9208
334.61	1152	67.6129	67.6129
335.11	1151.5	73.1951	73.1951
335.61	1151	81.3673	81.3673
336.11	1150.5	66.2897	66.2897
336.61	1150	71.0523	71.0523
337.11	1149.5	63.7553	63.7553
337.61	1149	80.8785	80.8785
338.11	1148.5	60.1022	60.1022
338.61	1148	69.4064	69.4064
339.11	1147.5	76.8711	76.8711
339.61	1147	74.1965	74.1965
340.11	1146.5	59.4325	59.4325
340.61	1146	48.3893	48.3893
