CasaXP16_vb_regions_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
288.61	1198	889.108	889.108
289.11	1197.5	885.907	885.907
289.61	1197	896.025	896.025
290.11	1196.5	893.182	893.182
290.61	1196	891.456	891.456
291.11	1195.5	881.679	881.679
291.61	1195	859.388	859.388
292.11	1194.5	856.055	856.055
292.61	1194	884.179	884.179
293.11	1193.5	890.519	890.519
293.61	1193	888.555	888.555
294.11	1192.5	881.876	881.876
294.61	1192	902.853	902.853
295.11	1191.5	899.205	899.205
295.61	1191	875.881	875.881
296.11	1190.5	884.971	884.971
296.61	1190	926.366	926.366
297.11	1189.5	911.103	911.103
297.61	1189	888.634	888.634
298.11	1188.5	893.637	893.637
298.61	1188	897.952	897.952
299.11	1187.5	893.15	893.15
299.61	1187	889.249	889.249
300.11	1186.5	886.879	886.879
300.61	1186	864.3	864.3
301.11	1185.5	874.272	874.272
301.61	1185	891.493	891.493
302.11	1184.5	904.145	904.145
302.61	1184	921.176	921.176
303.11	1183.5	920.996	920.996
303.61	1183	905.454	905.454
304.11	1182.5	883.611	883.611
304.61	1182	881.495	881.495
305.11	1181.5	894.558	894.558
305.61	1181	910.127	910.127
306.11	1180.5	910.383	910.383
306.61	1180	879.046	879.046
307.11	1179.5	940.795	940.795
307.61	1179	888.919	888.919
308.11	1178.5	931.489	931.489
308.61	1178	892.694	892.694
309.11	1177.5	903.173	903.173
309.61	1177	904.327	904.327
310.11	1176.5	924.215	924.215
310.61	1176	918.446	918.446
311.11	1175.5	910.58	910.58
311.61	1175	864.367	864.367
312.11	1174.5	902.997	902.997
312.61	1174	900.638	900.638
313.11	1173.5	909.811	909.811
313.61	1173	939.396	939.396
314.11	1172.5	939.411	939.411
314.61	1172	910.678	910.678
315.11	1171.5	909.874	909.874
315.61	1171	920.3	920.3
316.11	1170.5	913.916	913.916
316.61	1170	903.221	903.221
317.11	1169.5	901.714	901.714
317.61	1169	914.656	914.656
318.11	1168.5	941.186	941.186
318.61	1168	963.364	963.364
319.11	1167.5	921.709	921.709
319.61	1167	930.681	930.681
320.11	1166.5	895.799	895.799
320.61	1166	926.994	926.994
321.11	1165.5	988.004	988.004
321.61	1165	940.67	940.67
322.11	1164.5	933.751	933.751
322.61	1164	956.987	956.987
323.11	1163.5	952.227	952.227
323.61	1163	975.721	975.721
324.11	1162.5	959.449	959.449
324.61	1162	910.94	910.94
325.11	1161.5	903.344	903.344
325.61	1161	956.16	956.16
326.11	1160.5	983.149	983.149
326.61	1160	976.19	976.19
327.11	1159.5	944.871	944.871
327.61	1159	947.804	947.804
328.11	1158.5	911.988	911.988
328.61	1158	931.512	931.512
329.11	1157.5	947.976	947.976
329.61	1157	925.97	925.97
330.11	1156.5	979.273	979.273
330.61	1156	944.134	944.134
331.11	1155.5	957.585	957.585
331.61	1155	1004.62	1004.62
332.11	1154.5	945.384	945.384
332.61	1154	960.822	960.822
333.11	1153.5	984.969	984.969
333.61	1153	976.015	976.015
334.11	1152.5	970.031	970.031
334.61	1152	966.887	966.887
335.11	1151.5	937.742	937.742
335.61	1151	935.296	935.296
336.11	1150.5	963.78	963.78
336.61	1150	983.104	983.104
337.11	1149.5	994.468	994.468
337.61	1149	993.371	993.371
338.11	1148.5	973.745	973.745
338.61	1148	1004.32	1004.32
339.11	1147.5	959.052	959.052
339.61	1147	1008.19	1008.19
340.11	1146.5	947.81	947.81
340.61	1146	977.054	977.054
341.11	1145.5	993.199	993.199
341.61	1145	947.114	947.114
342.11	1144.5	962.36	962.36
342.61	1144	915.756	915.756
343.11	1143.5	996.683	996.683
343.61	1143	983.131	983.131
344.11	1142.5	1010.36	1010.36
344.61	1142	994.219	994.219
345.11	1141.5	985.829	985.829
345.61	1141	972.671	972.671
346.11	1140.5	997.373	997.373
346.61	1140	994.277	994.277
347.11	1139.5	1021.66	1021.66
347.61	1139	1038.34	1038.34
348.11	1138.5	1024.9	1024.9
348.61	1138	984.805	984.805
349.11	1137.5	996.365	996.365
