C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
985.11	501.5	354.987	354.987
985.61	501	353.415	353.415
986.11	500.5	362.06	362.06
986.61	500	361.452	361.452
987.11	499.5	355.682	355.682
987.61	499	361.076	361.076
988.11	498.5	359.955	359.955
988.61	498	361.415	361.415
989.11	497.5	366.093	366.093
989.61	497	362.067	362.067
990.11	496.5	358.632	358.632
990.61	496	365.451	365.451
991.11	495.5	360.289	360.289
991.61	495	370.885	370.885
992.11	494.5	367.871	367.871
992.61	494	364.071	364.071
993.11	493.5	364.232	364.232
993.61	493	372.677	372.677
994.11	492.5	363.802	363.802
994.61	492	369.801	369.801
995.11	491.5	373.475	373.475
995.61	491	370.912	370.912
996.11	490.5	371.637	371.637
996.61	490	375.774	375.774
997.11	489.5	370.833	370.833
997.61	489	375.277	375.277
998.11	488.5	376.908	376.908
998.61	488	368.011	368.011
999.11	487.5	368.103	368.103
999.61	487	369.754	369.754
1000.11	486.5	371.994	371.994
1000.61	486	376.399	376.399
1001.11	485.5	373.625	373.625
1001.61	485	377.057	377.057
1002.11	484.5	369.417	369.417
1002.61	484	371.089	371.089
1003.11	483.5	371.813	371.813
1003.61	483	382.993	382.993
1004.11	482.5	375.456	375.456
1004.61	482	378.556	378.556
1005.11	481.5	375.609	375.609
1005.61	481	375.535	375.535
1006.11	480.5	371.685	371.685
1006.61	480	364.129	364.129
1007.11	479.5	383.487	383.487
1007.61	479	380.716	380.716
1008.11	478.5	375.305	375.305
1008.61	478	379.835	379.835
1009.11	477.5	382.398	382.398
1009.61	477	386.468	386.468
1010.11	476.5	382.293	382.293
1010.61	476	386.847	386.847
1011.11	475.5	380.862	380.862
1011.61	475	386.74	386.74
1012.11	474.5	383.567	383.567
1012.61	474	383.88	383.88
1013.11	473.5	379.848	379.848
1013.61	473	379.551	379.551
1014.11	472.5	385.638	385.638
1014.61	472	383.691	383.691
1015.11	471.5	384.35	384.35
1015.61	471	385.975	385.975
1016.11	470.5	378.949	378.949
1016.61	470	390.185	390.185
1017.11	469.5	393.965	393.965
1017.61	469	390.392	390.392
1018.11	468.5	385.111	385.111
1018.61	468	382.831	382.831
1019.11	467.5	391.073	391.073
1019.61	467	385.212	385.212
1020.11	466.5	388.636	388.636
1020.61	466	388.789	388.789
1021.11	465.5	389.792	389.792
1021.61	465	393.589	393.589
1022.11	464.5	397.463	397.463
1022.61	464	401.679	401.679
1023.11	463.5	398.551	398.551
1023.61	463	394.925	394.925
1024.11	462.5	391.238	391.238
1024.61	462	391.404	391.404
1025.11	461.5	394.593	394.593
1025.61	461	401.145	401.145
1026.11	460.5	397.815	397.815
1026.61	460	400.542	400.542
1027.11	459.5	400.453	400.453
1027.61	459	397.952	397.952
1028.11	458.5	393.777	393.777
1028.61	458	400.844	400.844
1029.11	457.5	398.642	398.642
1029.61	457	399.929	399.929
1030.11	456.5	402.372	402.372
1030.61	456	404.677	404.677
1031.11	455.5	392.004	392.004
1031.61	455	394.79	394.79
1032.11	454.5	395.218	395.218
1032.61	454	404.326	404.326
1033.11	453.5	402.414	402.414
1033.61	453	412.817	412.817
1034.11	452.5	409.623	409.623
1034.61	452	415.699	415.699
1035.11	451.5	415.773	415.773
1035.61	451	425.252	425.252
1036.11	450.5	418.538	418.538
1036.61	450	410.658	410.658
1037.11	449.5	406.967	406.967
1037.61	449	409.385	409.385
1038.11	448.5	416.71	416.71
1038.61	448	416.313	416.313
1039.11	447.5	406.739	406.739
1039.61	447	404.999	404.999
1040.11	446.5	412.834	412.834
1040.61	446	421.871	421.871
1041.11	445.5	423.39	423.39
1041.61	445	416.96	416.96
1042.11	444.5	414.324	414.324
1042.61	444	420.662	420.662
1043.11	443.5	411.84	411.84
1043.61	443	426.799	426.799
1044.11	442.5	412.35	412.35
1044.61	442	421.837	421.837
1045.11	441.5	417.121	417.121
1045.61	441	415.045	415.045
1046.11	440.5	427.358	427.358
1046.61	440	424.194	424.194
1047.11	439.5	427.397	427.397
1047.61	439	417.727	417.727
1048.11	438.5	436.702	436.702
1048.61	438	432.437	432.437
1049.11	437.5	430.366	430.366
1049.61	437	423.582	423.582
1050.11	436.5	413.697	413.697
1050.61	436	428.599	428.599
1051.11	435.5	426.081	426.081
1051.61	435	421.024	421.024
1052.11	434.5	423.955	423.955
1052.61	434	420.417	420.417
1053.11	433.5	423.652	423.652
1053.61	433	430.555	430.555
1054.11	432.5	426.396	426.396
1054.61	432	426.514	426.514
1055.11	431.5	429.692	429.692
1055.61	431	431.485	431.485
1056.11	430.5	438.933	438.933
1056.61	430	432.385	432.385
1057.11	429.5	438.563	438.563
1057.61	429	440.469	440.469
1058.11	428.5	433.502	433.502
1058.61	428	438.257	438.257
1059.11	427.5	436.718	436.718
1059.61	427	443.272	443.272
1060.11	426.5	443.936	443.936
1060.61	426	436.894	436.894
1061.11	425.5	427.377	427.377
1061.61	425	428.575	428.575
1062.11	424.5	439.102	439.102
1062.61	424	440.115	440.115
1063.11	423.5	443.583	443.583
1063.61	423	438.537	438.537
1064.11	422.5	439.854	439.854
1064.61	422	435.702	435.702
1065.11	421.5	438.574	438.574
1065.61	421	436.031	436.031
1066.11	420.5	447.381	447.381
1066.61	420	444.352	444.352
1067.11	419.5	438.333	438.333
1067.61	419	447.531	447.531
1068.11	418.5	450.31	450.31
1068.61	418	450.682	450.682
1069.11	417.5	440.726	440.726
1069.61	417	443.027	443.027
1070.11	416.5	450.818	450.818
1070.61	416	447.401	447.401
1071.11	415.5	441.308	441.308
1071.61	415	447.082	447.082
1072.11	414.5	445.908	445.908
1072.61	414	447.52	447.52
1073.11	413.5	448.324	448.324
1073.61	413	442.235	442.235
1074.11	412.5	448.635	448.635
1074.61	412	451.501	451.501
1075.11	411.5	448.432	448.432
1075.61	411	450.11	450.11
1076.11	410.5	453.424	453.424
1076.61	410	445.002	445.002
1077.11	409.5	457.716	457.716
1077.61	409	465.345	465.345
1078.11	408.5	466.175	466.175
1078.61	408	454.567	454.567
1079.11	407.5	456.702	456.702
1079.61	407	468.829	468.829
1080.11	406.5	462.949	462.949
1080.61	406	470.26	470.26
1081.11	405.5	452.073	452.073
1081.61	405	457.896	457.896
1082.11	404.5	466.013	466.013
1082.61	404	463.88	463.88
1083.11	403.5	462.106	462.106
1083.61	403	466.611	466.611
1084.11	402.5	457.974	457.974
1084.61	402	470.357	470.357
1085.11	401.5	474.144	474.144
1085.61	401	477.553	477.553
1086.11	400.5	472.294	472.294
1086.61	400	471.09	471.09
1087.11	399.5	466.544	466.544
1087.61	399	471.704	471.704
1088.11	398.5	462.442	462.442
1088.61	398	460.851	460.851
1089.11	397.5	468.84	468.84
1089.61	397	463.299	463.299
1090.11	396.5	469.369	469.369
1090.61	396	473.169	473.169
1091.11	395.5	473.618	473.618
1091.61	395	473.095	473.095
1092.11	394.5	468.832	468.832
1092.61	394	466.19	466.19
1093.11	393.5	470.904	470.904
1093.61	393	482.331	482.331
1094.11	392.5	474.636	474.636
1094.61	392	475.552	475.552
1095.11	391.5	480.791	480.791
1095.61	391	479.48	479.48
1096.11	390.5	477.821	477.821
1096.61	390	476.427	476.427
1097.11	389.5	476.061	476.061
1097.61	389	478.648	478.648
1098.11	388.5	477.591	477.591
1098.61	388	478.693	478.693
1099.11	387.5	481.566	481.566
1099.61	387	489.062	489.062
1100.11	386.5	478.311	478.311
1100.61	386	472.411	472.411
1101.11	385.5	485.656	485.656
1101.61	385	489.053	489.053
1102.11	384.5	487.422	487.422
1102.61	384	482.743	482.743
1103.11	383.5	488.075	488.075
1103.61	383	491.754	491.754
1104.11	382.5	484.858	484.858
1104.61	382	482.597	482.597
1105.11	381.5	483.882	483.882
1105.61	381	484.983	484.983
1106.11	380.5	484.307	484.307
1106.61	380	494.571	494.571
1107.11	379.5	483.98	483.98
1107.61	379	477.662	477.662
1108.11	378.5	484.569	484.569
1108.61	378	485.58	485.58
1109.11	377.5	498.016	498.016
1109.61	377	486.189	486.189
1110.11	376.5	496.632	496.632
1110.61	376	502.542	502.542
1111.11	375.5	503.483	503.483
1111.61	375	507.54	507.54
1112.11	374.5	508.416	508.416
1112.61	374	493.457	493.457
1113.11	373.5	494.426	494.426
1113.61	373	492.964	492.964
1114.11	372.5	499.072	499.072
1114.61	372	499.822	499.822
1115.11	371.5	497.405	497.405
1115.61	371	499.063	499.063
1116.11	370.5	503.17	503.17
1116.61	370	509.772	509.772
1117.11	369.5	505.667	505.667
1117.61	369	496.344	496.344
1118.11	368.5	500.525	500.525
1118.61	368	501.316	501.316
1119.11	367.5	507.045	507.045
1119.61	367	508.25	508.25
1120.11	366.5	507.163	507.163
1120.61	366	496.427	496.427
1121.11	365.5	500.301	500.301
1121.61	365	506.845	506.845
