C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
985.11	501.5	1738.13	1738.13
985.61	501	1747.57	1747.57
986.11	500.5	1746.27	1746.27
986.61	500	1743.74	1743.74
987.11	499.5	1752.56	1752.56
987.61	499	1743.9	1743.9
988.11	498.5	1753.96	1753.96
988.61	498	1759.71	1759.71
989.11	497.5	1759.73	1759.73
989.61	497	1770.45	1770.45
990.11	496.5	1782.8	1782.8
990.61	496	1782.36	1782.36
991.11	495.5	1761.5	1761.5
991.61	495	1742.42	1742.42
992.11	494.5	1762.27	1762.27
992.61	494	1767.52	1767.52
993.11	493.5	1767.76	1767.76
993.61	493	1773.97	1773.97
994.11	492.5	1774.83	1774.83
994.61	492	1783.33	1783.33
995.11	491.5	1795.11	1795.11
995.61	491	1786.42	1786.42
996.11	490.5	1785.51	1785.51
996.61	490	1787.22	1787.22
997.11	489.5	1783.49	1783.49
997.61	489	1797.48	1797.48
998.11	488.5	1805.63	1805.63
998.61	488	1789.64	1789.64
999.11	487.5	1788.18	1788.18
999.61	487	1802.64	1802.64
1000.11	486.5	1797.96	1797.96
1000.61	486	1797.75	1797.75
1001.11	485.5	1799.97	1799.97
1001.61	485	1807.69	1807.69
1002.11	484.5	1827.05	1827.05
1002.61	484	1804.8	1804.8
1003.11	483.5	1795.93	1795.93
1003.61	483	1787.46	1787.46
1004.11	482.5	1811.19	1811.19
1004.61	482	1803.43	1803.43
1005.11	481.5	1811.97	1811.97
1005.61	481	1803.2	1803.2
1006.11	480.5	1805.75	1805.75
1006.61	480	1796.09	1796.09
1007.11	479.5	1827.19	1827.19
1007.61	479	1816.23	1816.23
1008.11	478.5	1781.98	1781.98
1008.61	478	1790.46	1790.46
1009.11	477.5	1795.03	1795.03
1009.61	477	1791.86	1791.86
1010.11	476.5	1795.67	1795.67
1010.61	476	1796.26	1796.26
1011.11	475.5	1799.46	1799.46
1011.61	475	1806.53	1806.53
1012.11	474.5	1795.95	1795.95
1012.61	474	1789.55	1789.55
1013.11	473.5	1800.26	1800.26
1013.61	473	1775.01	1775.01
1014.11	472.5	1799.07	1799.07
1014.61	472	1807.31	1807.31
1015.11	471.5	1801.86	1801.86
1015.61	471	1803.43	1803.43
1016.11	470.5	1791.75	1791.75
1016.61	470	1792.47	1792.47
1017.11	469.5	1787.35	1787.35
1017.61	469	1801.65	1801.65
1018.11	468.5	1801.97	1801.97
1018.61	468	1819.9	1819.9
1019.11	467.5	1785.98	1785.98
1019.61	467	1805.89	1805.89
1020.11	466.5	1818.28	1818.28
1020.61	466	1801.01	1801.01
1021.11	465.5	1796.45	1796.45
1021.61	465	1789.36	1789.36
1022.11	464.5	1818.82	1818.82
1022.61	464	1826.46	1826.46
1023.11	463.5	1792.45	1792.45
1023.61	463	1813.03	1813.03
1024.11	462.5	1824.17	1824.17
1024.61	462	1810.42	1810.42
1025.11	461.5	1814.63	1814.63
1025.61	461	1815.12	1815.12
1026.11	460.5	1812	1812
1026.61	460	1819.15	1819.15
1027.11	459.5	1837.98	1837.98
1027.61	459	1834.54	1834.54
1028.11	458.5	1843.25	1843.25
1028.61	458	1823.73	1823.73
1029.11	457.5	1823	1823
1029.61	457	1853.51	1853.51
1030.11	456.5	1837.51	1837.51
1030.61	456	1830.56	1830.56
1031.11	455.5	1811.46	1811.46
1031.61	455	1836.3	1836.3
1032.11	454.5	1850.4	1850.4
1032.61	454	1838.95	1838.95
1033.11	453.5	1844.23	1844.23
1033.61	453	1843.65	1843.65
1034.11	452.5	1853.12	1853.12
1034.61	452	1842.32	1842.32
1035.11	451.5	1853.44	1853.44
1035.61	451	1861.91	1861.91
1036.11	450.5	1855.94	1855.94
1036.61	450	1854.31	1854.31
1037.11	449.5	1870.29	1870.29
1037.61	449	1863.29	1863.29
1038.11	448.5	1858.14	1858.14
1038.61	448	1846.93	1846.93
1039.11	447.5	1862.68	1862.68
1039.61	447	1870.36	1870.36
1040.11	446.5	1860.55	1860.55
1040.61	446	1898	1898
1041.11	445.5	1867.46	1867.46
1041.61	445	1859.78	1859.78
1042.11	444.5	1863.8	1863.8
1042.61	444	1901.69	1901.69
1043.11	443.5	1888.75	1888.75
1043.61	443	1879	1879
1044.11	442.5	1857.91	1857.91
1044.61	442	1872.02	1872.02
1045.11	441.5	1875.05	1875.05
1045.61	441	1867.07	1867.07
1046.11	440.5	1890.19	1890.19
1046.61	440	1891.84	1891.84
1047.11	439.5	1874.26	1874.26
1047.61	439	1887.39	1887.39
1048.11	438.5	1892.21	1892.21
1048.61	438	1905.16	1905.16
1049.11	437.5	1903.09	1903.09
1049.61	437	1906.26	1906.26
1050.11	436.5	1909.21	1909.21
1050.61	436	1915.31	1915.31
1051.11	435.5	1902.97	1902.97
1051.61	435	1884.98	1884.98
1052.11	434.5	1907.56	1907.56
1052.61	434	1907.62	1907.62
1053.11	433.5	1914.81	1914.81
1053.61	433	1924.69	1924.69
1054.11	432.5	1924.51	1924.51
1054.61	432	1925.64	1925.64
1055.11	431.5	1932.8	1932.8
1055.61	431	1933.94	1933.94
1056.11	430.5	1928.01	1928.01
1056.61	430	1917.99	1917.99
1057.11	429.5	1942.27	1942.27
1057.61	429	1934.55	1934.55
1058.11	428.5	1925.82	1925.82
1058.61	428	1922.15	1922.15
1059.11	427.5	1931.41	1931.41
1059.61	427	1930.58	1930.58
1060.11	426.5	1930.99	1930.99
1060.61	426	1934.69	1934.69
1061.11	425.5	1938.73	1938.73
1061.61	425	1954.71	1954.71
1062.11	424.5	1941.32	1941.32
1062.61	424	1964.3	1964.3
1063.11	423.5	1969.04	1969.04
1063.61	423	1973.78	1973.78
1064.11	422.5	1970.04	1970.04
1064.61	422	1957	1957
1065.11	421.5	1969.43	1969.43
1065.61	421	1958.09	1958.09
1066.11	420.5	1954.63	1954.63
1066.61	420	1972.8	1972.8
1067.11	419.5	1956.79	1956.79
1067.61	419	1961.41	1961.41
1068.11	418.5	1971.19	1971.19
1068.61	418	1984.85	1984.85
1069.11	417.5	1989.57	1989.57
1069.61	417	1987.82	1987.82
1070.11	416.5	1971.37	1971.37
1070.61	416	1991.48	1991.48
1071.11	415.5	1984.55	1984.55
1071.61	415	1967.53	1967.53
1072.11	414.5	1987.56	1987.56
1072.61	414	2012.33	2012.33
1073.11	413.5	2007.5	2007.5
1073.61	413	2012.4	2012.4
1074.11	412.5	2019.81	2019.81
1074.61	412	1986.27	1986.27
1075.11	411.5	2001.91	2001.91
1075.61	411	2005.46	2005.46
1076.11	410.5	2006.54	2006.54
1076.61	410	2010.14	2010.14
1077.11	409.5	2018.72	2018.72
1077.61	409	2032.13	2032.13
1078.11	408.5	2023.96	2023.96
1078.61	408	2033.34	2033.34
1079.11	407.5	2037.06	2037.06
1079.61	407	2038.07	2038.07
1080.11	406.5	2073.57	2073.57
1080.61	406	2050.53	2050.53
1081.11	405.5	2028.34	2028.34
1081.61	405	2050.89	2050.89
1082.11	404.5	2035.39	2035.39
1082.61	404	2042.37	2042.37
1083.11	403.5	2049.33	2049.33
1083.61	403	2064.35	2064.35
1084.11	402.5	2049.07	2049.07
1084.61	402	2035.92	2035.92
1085.11	401.5	2013.65	2013.65
1085.61	401	2028.04	2028.04
1086.11	400.5	2019.75	2019.75
1086.61	400	2019.64	2019.64
1087.11	399.5	2038.76	2038.76
1087.61	399	2018.73	2018.73
1088.11	398.5	2028.63	2028.63
1088.61	398	2028.93	2028.93
1089.11	397.5	2026.99	2026.99
1089.61	397	2005.94	2005.94
1090.11	396.5	2006.5	2006.5
1090.61	396	2016.72	2016.72
1091.11	395.5	2013.34	2013.34
1091.61	395	2006.15	2006.15
1092.11	394.5	1993.79	1993.79
1092.61	394	1995.53	1995.53
1093.11	393.5	1998.4	1998.4
1093.61	393	1995.81	1995.81
1094.11	392.5	1985.55	1985.55
1094.61	392	2003.87	2003.87
1095.11	391.5	1993.66	1993.66
1095.61	391	1977.56	1977.56
1096.11	390.5	1987.98	1987.98
1096.61	390	1997.82	1997.82
1097.11	389.5	1959.78	1959.78
1097.61	389	1995.97	1995.97
1098.11	388.5	1984.55	1984.55
1098.61	388	2001.43	2001.43
1099.11	387.5	2002.59	2002.59
1099.61	387	2011.51	2011.51
1100.11	386.5	2005.72	2005.72
1100.61	386	1993.59	1993.59
1101.11	385.5	2007.05	2007.05
1101.61	385	2030.19	2030.19
1102.11	384.5	2020.55	2020.55
1102.61	384	1991.3	1991.3
1103.11	383.5	2002.95	2002.95
1103.61	383	2015.09	2015.09
1104.11	382.5	1996.99	1996.99
1104.61	382	2002.48	2002.48
1105.11	381.5	2024.02	2024.02
1105.61	381	2014.65	2014.65
1106.11	380.5	2020.18	2020.18
1106.61	380	2031.57	2031.57
1107.11	379.5	2028.34	2028.34
1107.61	379	2035.33	2035.33
1108.11	378.5	2024.89	2024.89
1108.61	378	2009.31	2009.31
1109.11	377.5	2017.3	2017.3
1109.61	377	2036.5	2036.5
1110.11	376.5	2027.34	2027.34
1110.61	376	2043.7	2043.7
1111.11	375.5	2052.69	2052.69
1111.61	375	2049.73	2049.73
1112.11	374.5	2033.12	2033.12
1112.61	374	2028.66	2028.66
1113.11	373.5	2037.16	2037.16
1113.61	373	2038.28	2038.28
1114.11	372.5	2056.13	2056.13
1114.61	372	2025.83	2025.83
1115.11	371.5	2043.59	2043.59
1115.61	371	2060.23	2060.23
1116.11	370.5	2046.5	2046.5
1116.61	370	2056.93	2056.93
1117.11	369.5	2056.82	2056.82
1117.61	369	2036.75	2036.75
1118.11	368.5	2061.7	2061.7
1118.61	368	2080.58	2080.58
1119.11	367.5	2064.52	2064.52
1119.61	367	2065.01	2065.01
1120.11	366.5	2052.28	2052.28
