CasaXP16_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
1254.11	232.5	2242.88	2242.88
1254.61	232	2232.05	2232.05
1255.11	231.5	2246.2	2246.2
1255.61	231	2257.77	2257.77
1256.11	230.5	2243.9	2243.9
1256.61	230	2227.57	2227.57
1257.11	229.5	2248.85	2248.85
1257.61	229	2248.96	2248.96
1258.11	228.5	2250.07	2250.07
1258.61	228	2269.09	2269.09
1259.11	227.5	2263.26	2263.26
1259.61	227	2238.51	2238.51
1260.11	226.5	2252.16	2252.16
1260.61	226	2273.38	2273.38
1261.11	225.5	2276.63	2276.63
1261.61	225	2267.37	2267.37
1262.11	224.5	2257.23	2257.23
1262.61	224	2261.15	2261.15
1263.11	223.5	2263.64	2263.64
1263.61	223	2278	2278
1264.11	222.5	2289.91	2289.91
1264.61	222	2274.53	2274.53
1265.11	221.5	2262.77	2262.77
1265.61	221	2275.73	2275.73
1266.11	220.5	2278.89	2278.89
1266.61	220	2272.94	2272.94
1267.11	219.5	2299.1	2299.1
1267.61	219	2301.43	2301.43
1268.11	218.5	2286.03	2286.03
1268.61	218	2266.15	2266.15
1269.11	217.5	2302.52	2302.52
1269.61	217	2304.92	2304.92
1270.11	216.5	2299.6	2299.6
1270.61	216	2295.56	2295.56
1271.11	215.5	2289.55	2289.55
1271.61	215	2308.81	2308.81
1272.11	214.5	2313.91	2313.91
1272.61	214	2306.16	2306.16
1273.11	213.5	2311.95	2311.95
1273.61	213	2330.64	2330.64
1274.11	212.5	2313.18	2313.18
1274.61	212	2331.24	2331.24
1275.11	211.5	2344.13	2344.13
1275.61	211	2339.9	2339.9
1276.11	210.5	2335.24	2335.24
1276.61	210	2352.23	2352.23
1277.11	209.5	2359.28	2359.28
1277.61	209	2354.46	2354.46
1278.11	208.5	2365.3	2365.3
1278.61	208	2352.74	2352.74
1279.11	207.5	2352.19	2352.19
1279.61	207	2351.65	2351.65
1280.11	206.5	2354.76	2354.76
1280.61	206	2391.91	2391.91
1281.11	205.5	2380.39	2380.39
1281.61	205	2342.55	2342.55
1282.11	204.5	2366.76	2366.76
1282.61	204	2376.24	2376.24
1283.11	203.5	2385.38	2385.38
1283.61	203	2384.94	2384.94
1284.11	202.5	2392.07	2392.07
1284.61	202	2385.11	2385.11
1285.11	201.5	2383.12	2383.12
1285.61	201	2392.36	2392.36
1286.11	200.5	2408.16	2408.16
1286.61	200	2425.69	2425.69
1287.11	199.5	2406.05	2406.05
1287.61	199	2416.54	2416.54
1288.11	198.5	2396.67	2396.67
1288.61	198	2425.86	2425.86
1289.11	197.5	2426.53	2426.53
1289.61	197	2419.87	2419.87
1290.11	196.5	2408.85	2408.85
1290.61	196	2416.06	2416.06
1291.11	195.5	2439.46	2439.46
1291.61	195	2449.69	2449.69
1292.11	194.5	2421.73	2421.73
1292.61	194	2444.29	2444.29
1293.11	193.5	2434.68	2434.68
1293.61	193	2452.5	2452.5
1294.11	192.5	2439.08	2439.08
1294.61	192	2458.16	2458.16
1295.11	191.5	2452.53	2452.53
1295.61	191	2465.29	2465.29
1296.11	190.5	2465.03	2465.03
1296.61	190	2466.58	2466.58
1297.11	189.5	2468.1	2468.1
1297.61	189	2464.91	2464.91
1298.11	188.5	2487.4	2487.4
1298.61	188	2492.16	2492.16
1299.11	187.5	2488.63	2488.63
1299.61	187	2490.56	2490.56
1300.11	186.5	2498.26	2498.26
1300.61	186	2475.77	2475.77
1301.11	185.5	2506.43	2506.43
1301.61	185	2515.57	2515.57
1302.11	184.5	2513.13	2513.13
1302.61	184	2497.31	2497.31
1303.11	183.5	2530.41	2530.41
1303.61	183	2525.86	2525.86
1304.11	182.5	2534.45	2534.45
1304.61	182	2516.58	2516.58
1305.11	181.5	2517.2	2517.2
1305.61	181	2544.82	2544.82
1306.11	180.5	2533.85	2533.85
1306.61	180	2568.36	2568.36
1307.11	179.5	2586.34	2586.34
1307.61	179	2579.91	2579.91
1308.11	178.5	2578.66	2578.66
1308.61	178	2540.1	2540.1
1309.11	177.5	2557.13	2557.13
1309.61	177	2581.54	2581.54
1310.11	176.5	2591.53	2591.53
1310.61	176	2579.14	2579.14
1311.11	175.5	2603.63	2603.63
1311.61	175	2637.88	2637.88
1312.11	174.5	2630.53	2630.53
1312.61	174	2585.87	2585.87
1313.11	173.5	2602.76	2602.76
1313.61	173	2629.2	2629.2
1314.11	172.5	2629.66	2629.66
1314.61	172	2627.03	2627.03
1315.11	171.5	2625.69	2625.69
1315.61	171	2652.41	2652.41
1316.11	170.5	2650.7	2650.7
1316.61	170	2638.35	2638.35
1317.11	169.5	2675.62	2675.62
1317.61	169	2696.24	2696.24
1318.11	168.5	2686.12	2686.12
1318.61	168	2723.2	2723.2
1319.11	167.5	2742.77	2742.77
1319.61	167	2678.67	2678.67
1320.11	166.5	2686.66	2686.66
1320.61	166	2700.95	2700.95
1321.11	165.5	2702.99	2702.99
1321.61	165	2699.13	2699.13
1322.11	164.5	2712.22	2712.22
1322.61	164	2695.79	2695.79
1323.11	163.5	2716.48	2716.48
1323.61	163	2747.27	2747.27
1324.11	162.5	2749.88	2749.88
1324.61	162	2737	2737
1325.11	161.5	2763.54	2763.54
1325.61	161	2752.52	2752.52
1326.11	160.5	2761.45	2761.45
1326.61	160	2737.19	2737.19
1327.11	159.5	2725.34	2725.34
1327.61	159	2763.76	2763.76
1328.11	158.5	2765.76	2765.76
1328.61	158	2776.97	2776.97
1329.11	157.5	2779.73	2779.73
1329.61	157	2795.18	2795.18
1330.11	156.5	2793.16	2793.16
1330.61	156	2791.31	2791.31
1331.11	155.5	2793.42	2793.42
1331.61	155	2825.97	2825.97
1332.11	154.5	2807.1	2807.1
1332.61	154	2821.42	2821.42
1333.11	153.5	2808.09	2808.09
1333.61	153	2831.5	2831.5
1334.11	152.5	2852.6	2852.6
1334.61	152	2852.55	2852.55
1335.11	151.5	2856.33	2856.33
1335.61	151	2862.44	2862.44
1336.11	150.5	2885.74	2885.74
1336.61	150	2895.75	2895.75
1337.11	149.5	2877.66	2877.66
1337.61	149	2875.27	2875.27
1338.11	148.5	2923.74	2923.74
1338.61	148	2926.6	2926.6
1339.11	147.5	2923.97	2923.97
1339.61	147	2930.9	2930.9
1340.11	146.5	2939.03	2939.03
1340.61	146	2952.05	2952.05
1341.11	145.5	2959.61	2959.61
1341.61	145	2975.92	2975.92
1342.11	144.5	2951.96	2951.96
1342.61	144	2946.65	2946.65
1343.11	143.5	2997.54	2997.54
1343.61	143	3013.37	3013.37
1344.11	142.5	3005.97	3005.97
1344.61	142	3008.85	3008.85
1345.11	141.5	3013.02	3013.02
1345.61	141	3009.24	3009.24
1346.11	140.5	3033.18	3033.18
1346.61	140	3030.93	3030.93
1347.11	139.5	3015.05	3015.05
1347.61	139	3045.75	3045.75
1348.11	138.5	3052.09	3052.09
1348.61	138	3056.87	3056.87
1349.11	137.5	3053.89	3053.89
1349.61	137	3062.4	3062.4
1350.11	136.5	3098.51	3098.51
1350.61	136	3106.02	3106.02
1351.11	135.5	3123.71	3123.71
1351.61	135	3117.35	3117.35
1352.11	134.5	3133.36	3133.36
1352.61	134	3147.27	3147.27
