CasaXP16_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
865.11	621.5	2960.97	2960.97
865.61	621	2971.59	2971.59
866.11	620.5	2964.49	2964.49
866.61	620	2952.56	2952.56
867.11	619.5	2950.77	2950.77
867.61	619	2939	2939
868.11	618.5	2907.6	2907.6
868.61	618	2953.53	2953.53
869.11	617.5	2933.34	2933.34
869.61	617	2927.63	2927.63
870.11	616.5	2935.06	2935.06
870.61	616	2915.34	2915.34
871.11	615.5	2896.53	2896.53
871.61	615	2888.88	2888.88
872.11	614.5	2924.6	2924.6
872.61	614	2964.32	2964.32
873.11	613.5	2930.39	2930.39
873.61	613	2929.49	2929.49
874.11	612.5	2926.05	2926.05
874.61	612	2930.82	2930.82
875.11	611.5	2918.44	2918.44
875.61	611	2919.21	2919.21
876.11	610.5	2913.92	2913.92
876.61	610	2940.58	2940.58
877.11	609.5	2933.55	2933.55
877.61	609	2971.77	2971.77
878.11	608.5	2931.84	2931.84
878.61	608	2915.46	2915.46
879.11	607.5	2934.11	2934.11
879.61	607	2919.11	2919.11
880.11	606.5	2924	2924
880.61	606	2944.48	2944.48
881.11	605.5	2924.02	2924.02
881.61	605	2948.46	2948.46
882.11	604.5	2942.65	2942.65
882.61	604	2952.92	2952.92
883.11	603.5	2963.18	2963.18
883.61	603	2907.86	2907.86
884.11	602.5	2944.41	2944.41
884.61	602	2957.19	2957.19
885.11	601.5	2984.31	2984.31
885.61	601	2979.87	2979.87
886.11	600.5	2967.57	2967.57
886.61	600	2981.46	2981.46
887.11	599.5	2926.58	2926.58
887.61	599	2992.3	2992.3
888.11	598.5	3022.18	3022.18
888.61	598	2989.47	2989.47
889.11	597.5	2990.37	2990.37
889.61	597	3034.54	3034.54
890.11	596.5	3033.56	3033.56
890.61	596	3034.53	3034.53
891.11	595.5	3037.55	3037.55
891.61	595	3030.32	3030.32
892.11	594.5	3022.57	3022.57
892.61	594	3011.36	3011.36
893.11	593.5	3026.14	3026.14
893.61	593	3004.79	3004.79
894.11	592.5	3073.63	3073.63
894.61	592	3045.45	3045.45
895.11	591.5	3035.05	3035.05
895.61	591	3017.97	3017.97
896.11	590.5	3019.14	3019.14
896.61	590	3043.46	3043.46
897.11	589.5	3054.29	3054.29
897.61	589	2990.8	2990.8
898.11	588.5	3044.31	3044.31
898.61	588	3018.1	3018.1
899.11	587.5	3018.39	3018.39
899.61	587	3026.98	3026.98
900.11	586.5	2990.63	2990.63
900.61	586	2988.46	2988.46
901.11	585.5	2969.66	2969.66
901.61	585	2977.25	2977.25
902.11	584.5	2922.04	2922.04
902.61	584	2899.6	2899.6
903.11	583.5	2931.2	2931.2
903.61	583	2901.4	2901.4
904.11	582.5	2935.09	2935.09
904.61	582	2902.95	2902.95
905.11	581.5	2844.22	2844.22
905.61	581	2815.3	2815.3
906.11	580.5	2846.77	2846.77
906.61	580	2841.39	2841.39
907.11	579.5	2854.46	2854.46
907.61	579	2891.48	2891.48
908.11	578.5	2927.41	2927.41
908.61	578	2942.09	2942.09
909.11	577.5	2970.56	2970.56
909.61	577	2967.47	2967.47
910.11	576.5	2971.64	2971.64
910.61	576	2982.02	2982.02
911.11	575.5	3007.46	3007.46
911.61	575	3007.82	3007.82
912.11	574.5	3082.1	3082.1
912.61	574	3135.72	3135.72
913.11	573.5	3147.36	3147.36
913.61	573	3242.48	3242.48
914.11	572.5	3250.39	3250.39
914.61	572	3286.42	3286.42
915.11	571.5	3346.19	3346.19
915.61	571	3472.48	3472.48
916.11	570.5	3619.11	3619.11
916.61	570	3857.15	3857.15
917.11	569.5	4050.34	4050.34
917.61	569	4160.09	4160.09
918.11	568.5	4161.86	4161.86
918.61	568	4008.48	4008.48
919.11	567.5	3776.35	3776.35
919.61	567	3422.82	3422.82
920.11	566.5	3066.73	3066.73
920.61	566	2786.03	2786.03
921.11	565.5	2565.53	2565.53
921.61	565	2469.37	2469.37
922.11	564.5	2355.43	2355.43
922.61	564	2214	2214
923.11	563.5	2040.68	2040.68
923.61	563	2005.21	2005.21
924.11	562.5	1938.59	1938.59
924.61	562	1878.98	1878.98
925.11	561.5	1853.65	1853.65
925.61	561	1871.84	1871.84
926.11	560.5	1801.79	1801.79
926.61	560	1771.85	1771.85
927.11	559.5	1755.53	1755.53
927.61	559	1692.41	1692.41
928.11	558.5	1640.98	1640.98
928.61	558	1632.51	1632.51
929.11	557.5	1637.52	1637.52
929.61	557	1590.64	1590.64
930.11	556.5	1581.93	1581.93
930.61	556	1568.56	1568.56
931.11	555.5	1552.06	1552.06
931.61	555	1575.71	1575.71
932.11	554.5	1560.56	1560.56
932.61	554	1529.61	1529.61
933.11	553.5	1526.96	1526.96
933.61	553	1519.7	1519.7
934.11	552.5	1557.13	1557.13
