CasaXP16_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
865.11	621.5	7855.73	7855.73
865.61	621	7844.35	7844.35
866.11	620.5	7770.87	7770.87
866.61	620	7721.6	7721.6
867.11	619.5	7694.42	7694.42
867.61	619	7660.32	7660.32
868.11	618.5	7608.61	7608.61
868.61	618	7569.66	7569.66
869.11	617.5	7539.16	7539.16
869.61	617	7464.64	7464.64
870.11	616.5	7430.27	7430.27
870.61	616	7430.92	7430.92
871.11	615.5	7425.44	7425.44
871.61	615	7411.97	7411.97
872.11	614.5	7424.27	7424.27
872.61	614	7427.51	7427.51
873.11	613.5	7483.27	7483.27
873.61	613	7488.95	7488.95
874.11	612.5	7453.05	7453.05
874.61	612	7441.25	7441.25
875.11	611.5	7459.48	7459.48
875.61	611	7424.97	7424.97
876.11	610.5	7475.94	7475.94
876.61	610	7504.72	7504.72
877.11	609.5	7472.89	7472.89
877.61	609	7545.91	7545.91
878.11	608.5	7573.35	7573.35
878.61	608	7563.7	7563.7
879.11	607.5	7593.94	7593.94
879.61	607	7585.06	7585.06
880.11	606.5	7611.98	7611.98
880.61	606	7640.22	7640.22
881.11	605.5	7659.75	7659.75
881.61	605	7624.61	7624.61
882.11	604.5	7671.48	7671.48
882.61	604	7737.89	7737.89
883.11	603.5	7752.69	7752.69
883.61	603	7758.87	7758.87
884.11	602.5	7778.64	7778.64
884.61	602	7805.91	7805.91
885.11	601.5	7800.9	7800.9
885.61	601	7848.03	7848.03
886.11	600.5	7864.8	7864.8
886.61	600	7896.38	7896.38
887.11	599.5	7902.83	7902.83
887.61	599	7957.29	7957.29
888.11	598.5	8003.12	8003.12
888.61	598	8044.81	8044.81
889.11	597.5	8021.06	8021.06
889.61	597	8026.11	8026.11
890.11	596.5	8099.85	8099.85
890.61	596	8101.21	8101.21
891.11	595.5	8187.67	8187.67
891.61	595	8191.07	8191.07
892.11	594.5	8250.33	8250.33
892.61	594	8227.57	8227.57
893.11	593.5	8265.19	8265.19
893.61	593	8321.46	8321.46
894.11	592.5	8335.43	8335.43
894.61	592	8372.46	8372.46
895.11	591.5	8379.59	8379.59
895.61	591	8394.72	8394.72
896.11	590.5	8430.21	8430.21
896.61	590	8458.04	8458.04
897.11	589.5	8480.5	8480.5
897.61	589	8498.73	8498.73
898.11	588.5	8583.92	8583.92
898.61	588	8587.91	8587.91
899.11	587.5	8591.44	8591.44
899.61	587	8629.5	8629.5
900.11	586.5	8646.38	8646.38
900.61	586	8635.39	8635.39
901.11	585.5	8700.19	8700.19
901.61	585	8756.56	8756.56
902.11	584.5	8761.96	8761.96
902.61	584	8815.47	8815.47
903.11	583.5	8823.23	8823.23
903.61	583	8869.45	8869.45
904.11	582.5	8878.69	8878.69
904.61	582	8984.49	8984.49
905.11	581.5	9068.72	9068.72
905.61	581	9156.07	9156.07
906.11	580.5	9268.61	9268.61
906.61	580	9375.49	9375.49
907.11	579.5	9472.54	9472.54
907.61	579	9627.34	9627.34
908.11	578.5	9731.04	9731.04
908.61	578	9854.34	9854.34
909.11	577.5	9946.65	9946.65
909.61	577	10118.5	10118.5
910.11	576.5	10298.3	10298.3
910.61	576	10535.3	10535.3
911.11	575.5	10796	10796
911.61	575	11145.3	11145.3
912.11	574.5	11407.1	11407.1
912.61	574	11694.1	11694.1
913.11	573.5	12084.9	12084.9
913.61	573	12350.2	12350.2
914.11	572.5	12613.4	12613.4
914.61	572	12856	12856
915.11	571.5	13283	13283
915.61	571	13975	13975
916.11	570.5	14860.8	14860.8
916.61	570	15902.7	15902.7
917.11	569.5	16909.1	16909.1
917.61	569	17464.9	17464.9
918.11	568.5	17490	17490
918.61	568	16926.6	16926.6
919.11	567.5	15624.6	15624.6
919.61	567	13723.9	13723.9
920.11	566.5	11850.9	11850.9
920.61	566	10449.2	10449.2
921.11	565.5	9577.09	9577.09
921.61	565	8830.3	8830.3
922.11	564.5	8140.28	8140.28
922.61	564	7417.95	7417.95
923.11	563.5	6810.36	6810.36
923.61	563	6353.94	6353.94
924.11	562.5	6108.29	6108.29
924.61	562	5917.58	5917.58
925.11	561.5	5734.49	5734.49
925.61	561	5665.99	5665.99
926.11	560.5	5542.8	5542.8
926.61	560	5448.53	5448.53
927.11	559.5	5325.77	5325.77
927.61	559	5146.12	5146.12
928.11	558.5	5036.28	5036.28
928.61	558	4922.81	4922.81
929.11	557.5	4836.28	4836.28
929.61	557	4769.05	4769.05
930.11	556.5	4730.62	4730.62
930.61	556	4729.38	4729.38
931.11	555.5	4754.14	4754.14
931.61	555	4749.71	4749.71
932.11	554.5	4803.87	4803.87
932.61	554	4869.32	4869.32
933.11	553.5	4865.05	4865.05
933.61	553	4885.55	4885.55
934.11	552.5	4900.61	4900.61
